# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 6.321864547272586232e-02 2.104625041160026120e-13 2.850549430592059089e-16 2.107475590590618288e-13
5.838993118688259529e-03 7.382664717760781259e-02 1.905950547567500356e-13 2.849188699495756751e-16 1.908799736266996173e-13
6.818768128017769353e-03 8.621465696917561539e-02 1.712324900348081145e-13 2.847792919080437505e-16 1.715172693267161632e-13
7.962948035485325690e-03 1.006813577546171595e-01 1.524535993643377807e-13 2.846586307427971229e-16 1.527382579950805741e-13
9.299119756734202866e-03 1.175755510218800953e-01 1.343581804676989644e-13 2.845642738773826487e-16 1.346427447415763357e-13
1.085949925388581157e-02 1.373045666685476507e-01 1.170642817867647450e-13 2.836066245754450239e-16 1.173478884113401987e-13
1.268170828316790913e-02 1.603440839884246460e-01 1.007031212856742409e-13 2.834522239224825090e-16 1.009865735095967223e-13
1.480968147972586656e-02 1.872496006061567797e-01 8.541151726327423387e-14 2.825388846577615271e-16 8.569405614793199392e-14
1.729472565001686016e-02 2.186698258832948938e-01 7.132203242150136262e-14 2.815672925555559752e-16 7.160359971405691860e-14
2.019675681200996942e-02 2.553623217194639361e-01 5.855151526317654306e-14 2.806930855538901730e-16 5.883220834873043432e-14
2.358574480902929024e-02 2.982117678584415010e-01 4.718924256794329558e-14 2.788528007224926310e-16 4.746809536866578930e-14
2.754340032781188788e-02 3.482512920874603068e-01 3.728628786253546272e-14 2.767762186225089088e-16 3.756306408115796921e-14
3.216514499587391773e-02 4.066873796145952236e-01 2.884789976086591455e-14 2.745648289060777934e-16 2.912246458977199343e-14
3.756241205850358728e-02 4.749289622053963766e-01 2.183043494022833492e-14 2.718270657160564958e-16 2.210226200594439033e-14
4.386533310618707243e-02 5.546213884366132385e-01 1.614371594059878122e-14 2.687095657277572299e-16 1.641242550632653978e-14
5.122587563119895132e-02 6.476860941117429382e-01 1.165868632735985373e-14 2.648893282422260851e-16 1.192357565560207952e-14
5.982150706187026185e-02 7.563669293177087694e-01 8.219171118004260397e-15 2.603750508986084734e-16 8.479546168902868230e-15
6.985947361676432543e-02 8.832842590978942088e-01 5.655738347801829796e-15 2.550697551026095203e-16 5.910808102904438971e-15
8.158179714469422639e-02 1.031498142143652874e+00 3.799353425978142433e-15 2.497424028598490612e-16 4.049095828837991543e-15
9.527111042761822468e-02 1.204582110783302795e+00 2.492799900200315663e-15 2.426416273904827731e-16 2.735441527590798535e-15
1.112574716393304325e-01 1.406709331151736908e+00 1.598577008987966381e-15 2.349394513003854115e-16 1.833516460288351645e-15
1.299263222609410018e-01 1.642753220917912316e+00 1.002901232185468695e-15 2.267493739466711104e-16 1.229650606132139706e-15
1.517277803236215528e-01 1.918404950528532771e+00 6.162442908345149952e-16 2.177709775604574203e-16 8.340152683949724155e-16
1.771874930446940555e-01 2.240310660998719339e+00 3.713400978001442860e-16 2.084679915214368120e-16 5.798080893215810980e-16
2.069193105211186157e-01 2.616231706659095213e+00 2.197412683809786984e-16 1.978841907976504751e-16 4.176254591786291735e-16
2.416400860513061855e-01 3.055231786415300022e+00 1.278770170022881689e-16 1.871557719038316238e-16 3.150327889061198174e-16
2.821869599305631415e-01 3.567895475375314707e+00 7.328939080680803573e-17 1.756623981805237439e-16 2.489517889873317673e-16
3.295375434436236262e-01 4.166583425783088934e+00 4.142626649341288955e-17 1.640109352168798829e-16 2.054372017102927724e-16
3.848334897033505730e-01 4.865730390317605014e+00 2.312568480301489589e-17 1.520977639737537937e-16 1.752234487767686988e-16
4.494080196437306718e-01 5.682193253291367263e+00 1.276633537634780494e-17 1.400839512146647546e-16 1.528502865910125703e-16
5.248180668366125845e-01 6.635657461005033397e+00 6.977883889339945537e-18 1.280800137487912680e-16 1.350578976381312243e-16
6.128818161644512541e-01 7.749111650556160136e+00 3.780597029251149233e-18 1.163182474556557420e-16 1.200988444849068920e-16
7.157225414306788158e-01 9.049401920708888269e+00 2.032487536247230399e-18 1.048926730430187904e-16 1.069251605792660258e-16
8.358197988607614093e-01 1.056787910865270597e+01 1.085265482860175680e-18 9.383572204308062683e-17 9.492098752594080771e-17
9.760692108022782643e-01 1.234115467891051487e+01 5.760410140168164188e-19 8.334936741765414205e-17 8.392540843167096222e-17
1.139852281047596616e+00 1.441198344936518261e+01 3.041652865494640794e-19 7.357008428629508346e-17 7.387424957284454445e-17
1.331117925071608088e+00 1.683029443749849818e+01 1.598812105803245921e-19 6.431807028908613279e-17 6.447795149966645341e-17
1.554477680931142913e+00 1.965439468121020283e+01 8.370963227526840413e-20 5.592624213903797188e-17 5.600995177131323764e-17
1.815316896422285664e+00 2.295237505911390485e+01 4.367885750443887953e-20 4.818603297831735996e-17 4.822971183582180185e-17
2.119924573289651004e+00 2.680375200554362536e+01 2.272398144312812963e-20 4.125778694708662893e-17 4.128051092852975438e-17
2.475644999115283795e+00 3.130138470307917942e+01 1.179204629357346607e-20 3.499889622609004212e-17 3.501068827238361660e-17
2.891054822829829174e+00 3.655371397733865990e+01 6.105726309948538590e-21 2.949922076611271784e-17 2.950532649242266421e-17
3.376169843250778957e+00 4.268737687523589841e+01 3.155446537203156353e-21 2.461008734836950830e-17 2.461324279490671250e-17
3.942686496452824318e+00 4.985025996587096131e+01 1.628073701907587990e-21 2.033529052440101390e-17 2.033691859810292034e-17
4.604263864386632932e+00 5.821506498110827721e+01 8.388340891771603552e-22 1.671512335659562441e-17 1.671596219068480109e-17
5.376853004155713656e+00 6.798347276573622366e+01 4.316705799705152613e-22 1.349947741947076681e-17 1.349990909005073755e-17
6.279081538292701659e+00 7.939100593273290940e+01 2.219101057680624689e-22 1.090001824099317418e-17 1.090024015109894212e-17
7.332702778754716100e+00 9.271270746539326524e+01 1.139760647553959527e-22 8.583229322828221817e-18 8.583343298892976904e-18
8.563120213307023221e+00 1.082697721810778972e+02 5.849477147035069999e-23 6.768715309696077482e-18 6.768773804467548176e-18
1.000000000000000000e+01 1.264372909454517639e+02 3.000091285414031538e-23 5.160628913112156477e-18 5.160658914025010284e-18
