# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.050504332489348575e-02 3.252967582775397425e-11 2.728225360901774005e-14 3.255695808136299431e-11
5.838993118688259529e-03 1.226777513711502059e-02 3.067073602387476614e-11 2.727024511230691192e-14 3.069800626898707049e-11
6.818768128017769353e-03 1.432629092144590589e-02 2.885950274856936199e-11 2.730805242987163777e-14 2.888681080099923482e-11
7.962948035485325690e-03 1.673022282132976407e-02 2.709144185564040948e-11 2.724761500516467324e-14 2.711868947064557538e-11
9.299119756734202866e-03 1.953753118557315788e-02 2.536242940555323530e-11 2.723842465847286835e-14 2.538966783021170674e-11
1.085949925388581157e-02 2.281590202974378978e-02 2.366886026830739106e-11 2.715300180225011738e-14 2.369601327010963995e-11
1.268170828316790913e-02 2.664437898966789953e-02 2.200778054350271608e-11 2.713881280389399808e-14 2.203491935630661079e-11
1.480968147972586656e-02 3.111526911447858382e-02 2.037704363387333471e-11 2.705711616146423515e-14 2.040410075003479883e-11
1.729472565001686016e-02 3.633636844911476010e-02 1.877548718065933265e-11 2.696978040030626670e-14 1.880245696105963793e-11
2.019675681200996942e-02 4.243356106650048032e-02 1.720312419440376440e-11 2.689018514792556020e-14 1.723001437955169149e-11
2.358574480902929024e-02 4.955385421374687571e-02 1.566133643065919730e-11 2.672511216417427929e-14 1.568806154282337150e-11
2.754340032781188788e-02 5.786892275170987116e-02 1.415305141014797107e-11 2.653799138650785801e-14 1.417958940153447842e-11
3.216514499587391773e-02 6.757924834662729086e-02 1.268287688933505212e-11 2.642690876997787752e-14 1.270930379810503034e-11
3.756241205850358728e-02 7.891895321241634842e-02 1.125715905804569009e-11 2.608986178899832687e-14 1.128324891983468783e-11
4.386533310618707243e-02 9.216144494827596678e-02 9.883925056702831752e-12 2.580650552557773624e-14 9.909731562228409419e-12
5.122587563119895132e-02 1.076260085722701015e-01 8.572669181333306332e-12 2.545862684578311471e-14 8.598127808179088973e-12
5.982150706187026185e-02 1.256855046890737737e-01 7.333948596650783127e-12 2.504660808364877485e-14 7.358995204734432154e-12
6.985947361676432543e-02 1.467753593996725392e-01 6.178771618991406139e-12 2.456106052340038166e-14 6.203332679514806625e-12
8.158179714469422639e-02 1.714040627055369304e-01 5.117791378944277195e-12 2.407055280374656561e-14 5.141861931748023887e-12
9.527111042761822468e-02 2.001654285305682346e-01 4.160358509177186202e-12 2.341735393201561955e-14 4.183775863109201765e-12
1.112574716393304325e-01 2.337529119578549142e-01 3.313532237647950216e-12 2.270048627495887716e-14 3.336232723922909232e-12
1.299263222609410018e-01 2.729763288790516551e-01 2.581188441793814323e-12 2.194672862473801477e-14 2.603135170418552533e-12
1.517277803236215528e-01 3.187813811779132145e-01 1.963380936012581227e-12 2.111503576074672629e-14 1.984495971773327944e-12
1.771874930446940555e-01 3.722724582127548976e-01 1.456094950770696999e-12 2.024208114010983936e-14 1.476337031910806895e-12
2.069193105211186157e-01 4.347392643562879577e-01 1.051473932424820238e-12 1.925059582325980679e-14 1.070724528248080067e-12
2.416400860513061855e-01 5.076879145999924070e-01 7.385108395149706024e-13 1.824005569690471097e-14 7.567508952118753197e-13
2.821869599305631415e-01 5.928772479581096988e-01 5.040960995129197785e-13 1.715451183499188501e-14 5.212506113479116635e-13
3.295375434436236262e-01 6.923612342108471651e-01 3.342373287722679408e-13 1.604798663056950363e-14 3.502853154028374192e-13
3.848334897033505730e-01 8.085384964407299480e-01 2.152371273220451245e-13 1.491292326164723659e-14 2.301500505836923579e-13
4.494080196437306718e-01 9.442101433823948398e-01 1.346439928874066546e-13 1.376221496357176332e-14 1.484062078509784163e-13
5.248180668366125845e-01 1.102647305961092172e+00 8.186507007215308071e-14 1.260833097516162274e-14 9.447340104731470345e-14
6.128818161644512541e-01 1.287670006369393105e+00 4.841979549286886075e-14 1.147261518343902169e-14 5.989241067630787770e-14
7.157225414306788158e-01 1.503739261266430871e+00 2.789013650576843717e-14 1.036466978868007448e-14 3.825480629444851164e-14
8.358197988607614093e-01 1.756064639767211721e+00 1.566648560162229511e-14 9.289091216203465112e-15 2.495557681782576022e-14
9.760692108022782643e-01 2.050729869514505310e+00 8.595113847231691691e-15 8.264891366674726293e-15 1.686000521390641798e-14
1.139852281047596616e+00 2.394839519276734219e+00 4.613268828794064718e-15 7.305533615435665344e-15 1.191880244422972927e-14
1.331117925071608088e+00 2.796690294683913169e+00 2.426554915007735037e-15 6.396207478381521214e-15 8.822762393389255856e-15
1.554477680931142913e+00 3.265971077152322266e+00 1.253000453106959407e-15 5.568330213907648786e-15 6.821330667014607798e-15
1.815316896422285664e+00 3.813996529065458940e+00 6.362650554620890663e-16 4.802819164662479911e-15 5.439084220124569076e-15
2.119924573289651004e+00 4.453979897582824421e+00 3.182530966139959810e-16 4.115988750486690379e-15 4.434241847100686607e-15
2.475644999115283795e+00 5.201351594552391155e+00 1.570514110133596260e-16 3.494435877369622979e-15 3.651487288382982852e-15
2.891054822829829174e+00 6.074131233693924159e+00 7.657548414176885173e-17 2.946947781777477857e-15 3.023523265919246671e-15
3.376169843250778957e+00 7.093362095109656984e+00 3.694134513868821866e-17 2.460016858531590507e-15 2.496958203670278879e-15
3.942686496452824318e+00 8.283618492341886963e+00 1.765456027483777997e-17 2.033605584230451920e-15 2.051260144505289648e-15
4.604263864386632932e+00 9.673598274924618323e+00 8.367928650242052968e-18 1.671999792156103376e-15 1.680367720806345361e-15
5.376853004155713656e+00 1.129681475204789542e+01 3.937694328457593801e-18 1.350788894038012532e-15 1.354726588366470076e-15
6.279081538292701659e+00 1.319240472006073439e+01 1.841313550279543867e-18 1.090863879042456407e-15 1.092705192592735962e-15
7.332702778754716100e+00 1.540607207587703087e+01 8.563070131430513734e-19 8.590342686073316441e-16 8.598905756204746510e-16
8.563120213307023221e+00 1.799118976741228693e+01 3.963331578322919007e-19 6.774190281417475649e-16 6.778153612995798927e-16
1.000000000000000000e+01 2.101008664978697382e+01 1.826821148198657525e-19 5.172576512915074712e-16 5.174403334063273448e-16
