# R[Mpc], R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
4.999999999999999237e-03 1.362004428632677261e-02 1.665283345517181695e-26 2.159408053799989292e-29 1.667442753570981735e-26
5.838993118688259529e-03 1.590546897281827632e-02 1.591046029757583375e-26 2.158919689665338700e-29 1.593204949447248610e-26
6.818768128017769353e-03 1.857438477635910828e-02 1.516394849329568570e-26 2.163149782852720589e-29 1.518557999112421390e-26
7.962948035485325690e-03 2.169114097860578433e-02 1.441133207496190315e-26 2.157760660257429193e-29 1.443290968156447756e-26
9.299119756734202866e-03 2.533088458211522204e-02 1.365085530902369500e-26 2.158374168530608511e-29 1.367243905070900239e-26
1.085949925388581157e-02 2.958137215305146200e-02 1.288108641761161749e-26 2.153851325835327379e-29 1.290262493086997014e-26
1.268170828316790913e-02 3.454508568860480133e-02 1.210105649001705954e-26 2.153502248029102862e-29 1.212259151249735060e-26
1.480968147972586656e-02 4.034170352405194726e-02 1.131042266384091278e-26 2.150109196444972193e-29 1.133192375580536289e-26
1.729472565001686016e-02 4.711098585462025062e-02 1.050965109836155601e-26 2.145774647137812702e-29 1.053110884483293373e-26
2.019675681200996942e-02 5.501614444394954673e-02 9.700210205053536614e-27 2.139622261082856334e-29 9.721606427664365562e-27
2.358574480902929024e-02 6.424777776499615567e-02 8.884758063694875357e-27 2.133094396164437121e-29 8.906089007656519796e-27
2.754340032781188788e-02 7.502846645216505739e-02 8.067300381323501983e-27 2.124398101688845028e-29 8.088544362340391024e-27
3.216514499587391773e-02 8.761813986398495069e-02 7.253287837131583804e-27 2.113904527443993100e-29 7.274426882406023029e-27
3.756241205850358728e-02 1.023203431476147479e-01 6.449616112439625052e-27 2.101944492379026468e-29 6.470635557363414840e-27
4.386533310618707243e-02 1.194895559081487896e-01 5.664491049201473683e-27 2.086813903790939677e-29 5.685359188239382746e-27
5.122587563119895132e-02 1.395397389405594324e-01 4.907128342023232696e-27 2.068364707599833973e-29 4.927811989099231218e-27
5.982150706187026185e-02 1.629543150914965766e-01 4.187274557311307621e-27 2.046017232726957051e-29 4.207734729638577102e-27
6.985947361676432543e-02 1.902978248959613927e-01 3.514564727315897411e-27 2.019807036964099757e-29 3.534762797685538627e-27
8.158179714469422639e-02 2.222295380137725151e-01 2.897768344894452126e-27 1.990319407328897995e-29 2.917671538967740999e-27
9.527111042761822468e-02 2.595193486463377441e-01 2.344012806779409245e-27 1.952653918655660697e-29 2.363539345965965748e-27
1.112574716393304325e-01 3.030663381824851288e-01 1.858099943773289561e-27 1.911704751782015382e-29 1.877216991291109824e-27
1.299263222609410018e-01 3.539204526307161425e-01 1.442035308256698315e-27 1.864433246552527147e-29 1.460679640722223617e-27
1.517277803236215528e-01 4.133078174947571459e-01 1.094863854830770750e-27 1.812040022425836399e-29 1.112984255055029161e-27
1.771874930446940555e-01 4.826603004503900451e-01 8.128513848098326783e-28 1.753094260908054482e-29 8.303823274189131839e-28
2.069193105211186157e-01 5.636500345987673910e-01 5.899815692111935912e-28 1.688673561131901563e-29 6.068683048225125788e-28
2.416400860513061855e-01 6.582297346741206034e-01 4.186740493608289807e-28 1.619265884761480945e-29 4.348667082084437733e-28
2.821869599305631415e-01 7.686797782556378245e-01 2.905901283710665601e-28 1.543188512112553776e-29 3.060220134921920755e-28
3.295375434436236262e-01 8.976631871418974118e-01 1.973898835669692162e-28 1.463091818523568699e-29 2.120208017522049200e-28
3.848334897033505730e-01 1.048289834524262609e+00 1.313355200103948712e-28 1.378787073874016005e-29 1.451233907491350312e-28
4.494080196437306718e-01 1.224191426035604824e+00 8.568639253467683906e-29 1.290418880656632402e-29 9.859058134124316028e-29
5.248180668366125845e-01 1.429609062515813767e+00 5.488308907751007312e-29 1.199750557216738550e-29 6.688059464967746002e-29
6.128818161644512541e-01 1.669495495688842146e+00 3.455670155943606954e-29 1.108021254974602297e-29 4.563691410918209251e-29
7.157225414306788158e-01 1.949634542201639009e+00 2.141848822138744128e-29 1.015492040535959164e-29 3.157340862674703292e-29
8.358197988607614093e-01 2.276780535174461217e+00 1.308614661583202861e-29 9.236723127683935354e-30 2.232286974351596256e-29
9.760692108022782643e-01 2.658821175529410663e+00 7.892187886849223910e-30 8.334872370041408687e-30 1.622706025689063260e-29
1.139852281047596616e+00 3.104967709547771904e+00 4.704594280058345459e-30 7.454386275989184329e-30 1.215898055604752979e-29
1.331117925071608088e+00 3.625977017959741477e+00 2.775450031324060201e-30 6.627872740548840732e-30 9.403322771872900233e-30
1.554477680931142913e+00 4.234410971277741353e+00 1.622343730459866396e-30 5.835202156331312799e-30 7.457545886791179196e-30
1.815316896422285664e+00 4.944939304597760987e+00 9.406384882152786937e-31 5.093887346569511842e-30 6.034525834784790711e-30
2.119924573289651004e+00 5.774693314375487496e+00 5.415066384321220279e-31 4.413248966297166228e-30 4.954755604729288518e-30
2.475644999115283795e+00 6.743678905034714788e+00 3.097955400195950815e-31 3.780428999724052658e-30 4.090224539743647783e-30
2.891054822829829174e+00 7.875258944228176183e+00 1.762728914004462123e-31 3.207539596669621189e-30 3.383812488070067335e-30
3.376169843250778957e+00 9.196716556647306362e+00 9.982630825761560422e-32 2.701558932539781804e-30 2.801385240797397561e-30
3.942686496452824318e+00 1.073991293775800315e+01 5.630251052832644823e-32 2.244793938018290058e-30 2.301096448546616550e-30
4.604263864386632932e+00 1.254205554777599829e+01 3.164279599658205683e-32 1.854281364928774919e-30 1.885924160925356889e-30
5.376853004155713656e+00 1.464659520753399491e+01 1.772953341954143679e-32 1.504358157215747835e-30 1.522087690635289291e-30
6.279081538292701659e+00 1.710427372580068806e+01 9.907843270535427904e-33 1.216638389593099694e-30 1.226546232863635149e-30
7.332702778754716100e+00 1.997434731702212574e+01 5.524337725788022860e-33 9.608760220037478455e-31 9.664003597295359066e-31
8.563120213307023221e+00 2.332601530687632518e+01 3.074249804894447250e-33 7.603538037525315502e-31 7.634280535574260169e-31
1.000000000000000000e+01 2.724008857265354777e+01 1.707952205193963892e-33 5.789266586566358798e-31 5.806346108618298324e-31
