# R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
1.000000000000000056e-01 3.375870441452573249e-27 1.167781750953275834e-29 3.387548258962105760e-27
1.098541141987558339e-01 3.115121269563903143e-27 1.153666455482992763e-29 3.126657934118733163e-27
1.206792640639328534e-01 2.860463341077724104e-27 1.137912955877520876e-29 2.871842470636499217e-27
1.325711365590109270e-01 2.613018236632662685e-27 1.121101137069751012e-29 2.624229248003360073e-27
1.456348477501243632e-01 2.373910937417519922e-27 1.102457529722491514e-29 2.384935512714744665e-27
1.599858719606058188e-01 2.144241033059282080e-27 1.083926869078414398e-29 2.155080301750066053e-27
1.757510624854791981e-01 1.925051768082536835e-27 1.063030413595814717e-29 1.935682072218494943e-27
1.930697728883249975e-01 1.717298236569443710e-27 1.041367079896612662e-29 1.727711907368409729e-27
2.120950887920190486e-01 1.521816290428466473e-27 1.017482474879159653e-29 1.531991115177258036e-27
2.329951810515371868e-01 1.339293889785714221e-27 9.937253780668026824e-30 1.349231143566382213e-27
2.559547922699536016e-01 1.170246659533536008e-27 9.684128640510667364e-30 1.179930788174046623e-27
2.811768697974230125e-01 1.014999298765190164e-27 9.409261302015850105e-30 1.024408560067205926e-27
3.088843596477480746e-01 8.736742101326456421e-28 9.123690052147596576e-30 8.827979001847932331e-28
3.393221771895327810e-01 7.461882847053076862e-28 8.841390518234979918e-30 7.550296752235426255e-28
3.727593720314940073e-01 6.322582271497424941e-28 8.544587119964447133e-30 6.408028142697069525e-28
4.094915062380424242e-01 5.314141882301155439e-28 8.234721782351665411e-30 5.396489100124671897e-28
4.498432668969445380e-01 4.430208526904327210e-28 7.912733232172489503e-30 4.509335859226051951e-28
4.941713361323834541e-01 3.663045808546237493e-28 7.592439826182279847e-30 3.738970206808060221e-28
5.428675439323858987e-01 3.003847855098789458e-28 7.259001405138715216e-30 3.076437869150176498e-28
5.963623316594642843e-01 2.443074885306800317e-28 6.913343732152733221e-30 2.512208322628327719e-28
6.551285568595507369e-01 1.970789662717026054e-28 6.591632620354952250e-30 2.036705988920575562e-28
7.196856730011519376e-01 1.576975531527214003e-28 6.258086505694497907e-30 1.639556396584159045e-28
7.906043210907697238e-01 1.251819973223253782e-28 5.919609144559860625e-30 1.311016064668852486e-28
8.685113737513524557e-01 9.859519973024819614e-29 5.590322507558831342e-30 1.041855222378070261e-28
9.540954763499939206e-01 7.706265749809939470e-29 5.256880293017207705e-30 8.231953779111660241e-29
1.048113134154685877e+00 5.978541388833422498e-29 4.932197487349312490e-30 6.471761137568353817e-29
1.151395399326446967e+00 4.604773977211031644e-29 4.617314619371213613e-30 5.066505439148152585e-29
1.264855216855295783e+00 3.522010029474351267e-29 4.302851052905872755e-30 3.952295134764938752e-29
1.389495494373137463e+00 2.675817849772989753e-29 3.989230072999251774e-30 3.074740857072914790e-29
1.526417967175233370e+00 2.019883503364617164e-29 3.709042340094903380e-30 2.390787737374107432e-29
1.676832936811007313e+00 1.515389322061479105e-29 3.423873592112845824e-30 1.857776681272763547e-29
1.842069969326715295e+00 1.130257335259464036e-29 3.154134792286958119e-30 1.445670814488159918e-29
2.023589647725156482e+00 8.383284587665042383e-30 2.896220718279523668e-30 1.127950530594456605e-29
2.222996482526194306e+00 6.185341160302761443e-30 2.646387543551575815e-30 8.831728703854336907e-30
2.442053094548651160e+00 4.541022564907363851e-30 2.413556536887609074e-30 6.954579101794972925e-30
2.682695795279724571e+00 3.318259872448019103e-30 2.194438080293109876e-30 5.512697952741128979e-30
2.947051702551809704e+00 2.414112012432594826e-30 1.982069455886092253e-30 4.396181468318687079e-30
3.237457542817643308e+00 1.749101233316143069e-30 1.790416918022355075e-30 3.539518151338498144e-30
3.556480306223128718e+00 1.262406705245805374e-30 1.610115521753675421e-30 2.872522226999480795e-30
3.906939937054614731e+00 9.078673539343474873e-31 1.437837919538870842e-30 2.345705273473218329e-30
4.291934260128775769e+00 6.507160127121019903e-31 1.280255744916593326e-30 1.930971757628695404e-30
4.714866363457391962e+00 4.649527707018087420e-31 1.139307537386413119e-30 1.604260308088221861e-30
5.179474679231209855e+00 3.312619715217519602e-31 1.005040580879435166e-30 1.336302552401187214e-30
5.689866029018295635e+00 2.353811422077916955e-31 8.841728092535594507e-31 1.119553951461351059e-30
6.250551925273970078e+00 1.668383273116556233e-31 7.774973704999456386e-31 9.443356978116012838e-31
6.866488450042997904e+00 1.179846852148606080e-31 6.751124047663160292e-31 7.930970899811767029e-31
7.543120063354614935e+00 8.326022934997151778e-32 5.845551327724356923e-31 6.678153621224071991e-31
8.286427728546842175e+00 5.864125928511564450e-32 5.078907462525998320e-31 5.665320055377154765e-31
9.102981779915218397e+00 4.122773597921552369e-32 4.330136486894048248e-31 4.742413846686203704e-31
1.000000000000000000e+01 2.893732634159533977e-32 3.682348734596881398e-31 3.971721998012835014e-31
