# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 6.800283275388331779e-03 1.942831568323118591e-10 1.455486902729363734e-13 1.944287055225847837e-10
5.756976996632233792e-03 7.829814877398706685e-03 1.848623975459609980e-10 1.454190859381707491e-13 1.850078166318991630e-10
6.628556827950546522e-03 9.015212827414648827e-03 1.757033132729167056e-10 1.452410259007400680e-13 1.758485542988174432e-10
7.632089835876165913e-03 1.038007457343399602e-02 1.667853840263986399e-10 1.452596783268732366e-13 1.669306437047255202e-10
8.787553124273954006e-03 1.195157010851733217e-02 1.580888276851177918e-10 1.450664534514018943e-13 1.582338941385691846e-10
1.011794823862578740e-02 1.376098283767435669e-02 1.495947594587750582e-10 1.450818780060291959e-13 1.497398413367810773e-10
1.164975905257685865e-02 1.584433232950844747e-02 1.412854023321508135e-10 1.444729081581969248e-13 1.414298752403090044e-10
1.341347897639862813e-02 1.824309134959532092e-02 1.331443560133372268e-10 1.442600606013676235e-13 1.332886160739385877e-10
1.544421798238740720e-02 2.100501144941616452e-02 1.251569312434364655e-10 1.437144782018501838e-13 1.253006457216383121e-10
1.778240153111564081e-02 2.418507354565711462e-02 1.173105546015822772e-10 1.435016066948787893e-13 1.174540562082771580e-10
2.047457531190212399e-02 2.784658241284137387e-02 1.095952457137416093e-10 1.424476089830684287e-13 1.097376933227246776e-10
2.357433181728696772e-02 3.206242687711031991e-02 1.020041635238268206e-10 1.420490169221683876e-13 1.021462125407489836e-10
2.714337719661929355e-02 3.691653079754544931e-02 9.453421045732694735e-11 1.407281359299589759e-13 9.467493859325690975e-11
3.125275962636985677e-02 4.250552371938693536e-02 8.718667240779027381e-11 1.395656132972696038e-13 8.732623802108754493e-11
3.598428365005760382e-02 4.894066445646331337e-02 7.996785823113396095e-11 1.382621053028878040e-13 8.010612033643684850e-11
4.143213864273420644e-02 5.635005589515122010e-02 7.288968502837920864e-11 1.366245330600475246e-13 7.302630956143925134e-11
4.770477381749969187e-02 6.488119510946527280e-02 6.597013590698576999e-11 1.360544522013703569e-13 6.610619035918714414e-11
5.492705709937791003e-02 7.470390955183991988e-02 5.923349727719054433e-11 1.326010831484219438e-13 5.936609836033897158e-11
6.324276084276478360e-02 8.601373776968750107e-02 5.271026673357639868e-11 1.300857256219061409e-13 5.284035245919830346e-11
7.281742387506216774e-02 9.903582194688967388e-02 4.643661556864120935e-11 1.273089146437334914e-13 4.656392448328494077e-11
8.384164684055039896e-02 1.140293897581619864e-01 4.045329879320747495e-11 1.240427309422762974e-13 4.057734152414974852e-11
9.653488644416247100e-02 1.312929147555499942e-01 3.480393750464517510e-11 1.208090249518236054e-13 3.492474652959699790e-11
1.111498241263097070e-01 1.511700580136997041e-01 2.953265937667997953e-11 1.169618122240981573e-13 2.964962118890407983e-11
1.279773961349767730e-01 1.740565093128859930e-01 2.468117434225016748e-11 1.129218067554020734e-13 2.479409614900557072e-11
1.473525851275904741e-01 2.004078640456778138e-01 2.028547770252225665e-11 1.085059370323409392e-13 2.039398363955459667e-11
1.696610885947663627e-01 2.307486926510335934e-01 1.637249473125645704e-11 1.038615890165586288e-13 1.647635632027301518e-11
1.953469968527308254e-01 2.656829831189925217e-01 1.295708123440014577e-11 9.888120993374342160e-14 1.305596244433388898e-11
2.249216334484722968e-01 3.059061644425342674e-01 1.003983870531337429e-11 9.380425711280982200e-14 1.013364296242618435e-11
2.589737339615604816e-01 3.522189503647334408e-01 7.606158999227527412e-12 8.867737219218226885e-14 7.694836371419709352e-12
2.981811658297320866e-01 4.055432790055444325e-01 5.626766778737174160e-12 8.267619669254945575e-14 5.709442975429723211e-12
3.433244225021500617e-01 4.669406656747457918e-01 4.059792416311481241e-12 7.747281197725043359e-14 4.137265228288731448e-12
3.953021605453848064e-01 5.376333342163307494e-01 2.854131135342785994e-12 7.191893372404231955e-14 2.926050069066828225e-12
4.551490889957608421e-01 6.190285475412217187e-01 1.953597527008715081e-12 6.638260993314557865e-14 2.019980136941860811e-12
