# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 7.316525307797223932e-02 3.122162291841759968e-13 2.985608454441080901e-16 3.125147900296200803e-13
5.756976996632233792e-03 8.424213578453239315e-02 2.843180337291308451e-13 2.982328608519181509e-16 2.846162665899827412e-13
6.628556827950546522e-03 9.699600757174453580e-02 2.570963873338130534e-13 2.982250777213215487e-16 2.573946124115343500e-13
7.632089835876165913e-03 1.116807568711398746e-01 2.306531251741639465e-13 2.978923172871241312e-16 2.309510174914510824e-13
8.787553124273954006e-03 1.285887096547259079e-01 2.051126463396933883e-13 2.974251021324390644e-16 2.054100714418258204e-13
1.011794823862578740e-02 1.480564487017758668e-01 1.806188601109890388e-13 2.968359423670945374e-16 1.809156960533561211e-13
1.164975905257685865e-02 1.704715138758368109e-01 1.573299660680353940e-13 2.959596347444242500e-16 1.576259257027798238e-13
1.341347897639862813e-02 1.962801167928531765e-01 1.354109269195510728e-13 2.954360323216927824e-16 1.357063629518727589e-13
1.544421798238740720e-02 2.259960234545489166e-01 1.150237724185296368e-13 2.941532797487017109e-16 1.153179256982783386e-13
1.778240153111564081e-02 2.602107816716394129e-01 9.631624177919908986e-14 2.936657418676953697e-16 9.660990752106678814e-14
2.047457531190212399e-02 2.996054968718643297e-01 7.940968448814020459e-14 2.911427166166238331e-16 7.970082720475682488e-14
2.357433181728696772e-02 3.449643907111789032e-01 6.438751368663556684e-14 2.902430089407686150e-16 6.467775669557633176e-14
2.714337719661929355e-02 3.971904123963023170e-01 5.128573514106175263e-14 2.870589461822483033e-16 5.157279408724399931e-14
3.125275962636985677e-02 4.573232134896768053e-01 4.008705133552689382e-14 2.844304923300842708e-16 4.037148182785697641e-14
3.598428365005760382e-02 5.265598440172006844e-01 3.071969685860312453e-14 2.811332970075060438e-16 3.100083015561062890e-14
4.143213864273420644e-02 6.062785818714564456e-01 2.306150928724355555e-14 2.775070628600864399e-16 2.333901635010364076e-14
4.770477381749969187e-02 6.980663698769579151e-01 1.694889011587163920e-14 2.731323144768230992e-16 1.722202243034846363e-14
5.492705709937791003e-02 8.037504067008434117e-01 1.218945806753452354e-14 2.682663484005563476e-16 1.245772441593507944e-14
6.324276084276478360e-02 9.254345204821118331e-01 8.576566066972149471e-15 2.625305922513620769e-16 8.839096659223511794e-15
7.281742387506216774e-02 1.065541049260980477e+00 5.903617018757518847e-15 2.562379131754260397e-16 6.159854931932945084e-15
8.384164684055039896e-02 1.226859061912568549e+00 3.976328813276835790e-15 2.489131760917458307e-16 4.225241989368581965e-15
9.653488644416247100e-02 1.412599879508092071e+00 2.621682377365070075e-15 2.417803768854007242e-16 2.863462754250470602e-15
1.111498241263097070e-01 1.626461002354711249e+00 1.693049979561264923e-15 2.332374509128068639e-16 1.926287430474071935e-15
1.279773961349767730e-01 1.872699715295096601e+00 1.071726754022224219e-15 2.244159051313220238e-16 1.296142659153546243e-15
1.473525851275904741e-01 2.156217836510721408e+00 6.656077463873619769e-16 2.148119016284405987e-16 8.804196480158026002e-16
1.696610885947663627e-01 2.482659296904070612e+00 4.059923218578216587e-16 2.048809078625131626e-16 6.108732297203348213e-16
1.953469968527308254e-01 2.858522492550379823e+00 2.434803077019731502e-16 1.941693569235893206e-16 4.376496646255624708e-16
2.249216334484722968e-01 3.291289646793676749e+00 1.437344548442321736e-16 1.834917864208824316e-16 3.272262412651146052e-16
2.589737339615604816e-01 3.789575757169005854e+00 8.362268954743639029e-17 1.728190937821962794e-16 2.564417833296326450e-16
2.981811658297320866e-01 4.363300092203432179e+00 4.800301591334424986e-17 1.607664586455492634e-16 2.087694745588935195e-16
3.433244225021500617e-01 5.023883652043696024e+00 2.722071073531667858e-17 1.496284741538487925e-16 1.768491848891654649e-16
3.953021605453848064e-01 5.784476523714459084e+00 1.526529651892107007e-17 1.383137124850715670e-16 1.535790090039926309e-16
4.551490889957608421e-01 6.660219656916671838e+00 8.475226216398227141e-18 1.272903739294782069e-16 1.357656001458764433e-16
5.240565670773426055e-01 7.668546271477422849e+00 4.663113961168638910e-18 1.162551261632066929e-16 1.209182401243753325e-16
6.033963203196643921e-01 8.829528896501091850e+00 2.545002190053947511e-18 1.056946118135422190e-16 1.082396140035961680e-16
6.947477471865686205e-01 1.016627894965127510e+01 1.379003386497199943e-18 9.559296886499794792e-17 9.697197225149514863e-17
7.999293598030285946e-01 1.170540681089778268e+01 7.424269545833426138e-19 8.597966693082224280e-17 8.672209388540558291e-17
9.210349846633580917e-01 1.347755154931217803e+01 3.974372125248384341e-19 7.684220991851939893e-17 7.723964713104423328e-17
1.060475443960094966e+00 1.551799084806306617e+01 2.116873669540277848e-19 6.835509095833156017e-17 6.856677832528558261e-17
1.221026547274324692e+00 1.786734326924972294e+01 1.122508717015878838e-19 6.049605169736529269e-17 6.060830256906687774e-17
1.405884348987115340e+00 2.057237683840051190e+01 5.929020338260066382e-20 5.317812177734685432e-17 5.323741198072945644e-17
1.618728771408821432e+00 2.368694004494430416e+01 3.120900511230831586e-20 4.653920843546305756e-17 4.657041744057536359e-17
1.863796860157468815e+00 2.727303379187025101e+01 1.637809116462797060e-20 4.042989075515655762e-17 4.044626884632118273e-17
2.145967130064388773e+00 3.140204563363415957e+01 8.572251915882499454e-21 3.501714960488969271e-17 3.502572185680557563e-17
2.470856680661916105e+00 3.615617087200551083e+01 4.476287930388282675e-21 3.006561660175331939e-17 3.007009288968370682e-17
2.844933014509146041e+00 4.163004879928803348e+01 2.332699796391133338e-21 2.566495612843446255e-17 2.566728882823085320e-17
3.275642784297754240e+00 4.793264666123577200e+01 1.213468853809543814e-21 2.176646056627910151e-17 2.176767403513291160e-17
3.771560031677307023e+00 5.518942884328703968e+01 6.302677505768764586e-22 1.837191488649099584e-17 1.837254515424157346e-17
4.342556868756759947e+00 6.354485446161501727e+01 3.269143321254671695e-22 1.533005234268765772e-17 1.533037925701978452e-17
5.000000000000000888e+00 7.316525307797226674e+01 1.693676281347044965e-22 1.274800021243780921e-17 1.274816958006594443e-17
