# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 7.965050217692854623e-03 8.292212078445955683e-11 6.761821354794160441e-14 8.298973899800750323e-11
5.838993118688259529e-03 9.301574682223002002e-03 7.839263129593591029e-11 6.758593548783727503e-14 7.846021723142375367e-11
6.818768128017769353e-03 1.086236611249300800e-02 7.399251420602472327e-11 6.755282601877271462e-14 7.406006703204349763e-11
7.962948035485325690e-03 1.268505619670385817e-02 6.971005150722918845e-11 6.752420384386484996e-14 6.977757571107305001e-11
9.299119756734202866e-03 1.481359116854553959e-02 6.553417403935776844e-11 6.750182134241848954e-14 6.560167586070018348e-11
1.085949925388581157e-02 1.729929137923971738e-02 6.145463255386797944e-11 6.727465624116633516e-14 6.152190721010914262e-11
1.268170828316790913e-02 2.020208866431277145e-02 5.746221792637551846e-11 6.723803068325845663e-14 5.752945595705877645e-11
1.480968147972586656e-02 2.359197133881047598e-02 5.354903557983772226e-11 6.702137641730953259e-14 5.361605695625503468e-11
1.729472565001686016e-02 2.755067166072100449e-02 4.970883660679303591e-11 6.679090392823997399e-14 4.977562751072127633e-11
2.019675681200996942e-02 3.217363644843793807e-02 4.593740355185060393e-11 6.658353227178184295e-14 4.600398708412238496e-11
2.358574480902929024e-02 3.757232836512137963e-02 4.223298171647225320e-11 6.614699617322123198e-14 4.229912871264547492e-11
2.754340032781188788e-02 4.387691335540791493e-02 3.859673662073459819e-11 6.565440772560623710e-14 3.866239102846020495e-11
3.216514499587391773e-02 5.123939903030156479e-02 3.503320461702115641e-11 6.512984140699200180e-14 3.509833445842814982e-11
3.756241205850358728e-02 5.983729966873055361e-02 3.155068691577429809e-11 6.448041342640756833e-14 3.161516732920070522e-11
4.386533310618707243e-02 6.987791620132099979e-02 2.816151882088858911e-11 6.374090763962062322e-14 2.822525972852820832e-11
5.122587563119895132e-02 8.160333436955767572e-02 2.488212870733600957e-11 6.283470467633131792e-14 2.494496341201234181e-11
5.982150706187026185e-02 9.529626156917289648e-02 2.173279009382293870e-11 6.176386771360593324e-14 2.179455396153654595e-11
6.985947361676432543e-02 1.112868431078233994e-01 1.873697191767734221e-11 6.050539234665069580e-14 1.879747731002399443e-11
8.158179714469422639e-02 1.299606222214242379e-01 1.592021478122898385e-11 5.924168494438577452e-14 1.597945646617336877e-11
9.527111042761822468e-02 1.517678357702681446e-01 1.330851149545359630e-11 5.755730176235535207e-14 1.336606879721595111e-11
1.112574716393304325e-01 1.772342697401611267e-01 1.092625115495158441e-11 5.573025964179172731e-14 1.098198141459337606e-11
1.299263222609410018e-01 2.069739362817080708e-01 8.793890760729112371e-12 5.378748189679186615e-14 8.847678242625904073e-12
1.517277803236215528e-01 2.417038779393431425e-01 6.925628087848813292e-12 5.165770608008213041e-14 6.977285793928895018e-12
1.771874930446940555e-01 2.822614560096183833e-01 5.327432669792673052e-12 4.945093397548702689e-14 5.376883603768159953e-12
2.069193105211186157e-01 3.296245398622182909e-01 3.995811150663839475e-12 4.694033833448737584e-14 4.042751488998326573e-12
2.416400860513061855e-01 3.849350840012553676e-01 2.917609406424698269e-12 4.439543764969780777e-14 2.962004844074396032e-12
2.821869599305631415e-01 4.495266613250034626e-01 2.070982368545994240e-12 4.166908114288392286e-14 2.112651449688878226e-12
3.295375434436236262e-01 5.249566164287207126e-01 1.427426029564965074e-12 3.890522410407449181e-14 1.466331253669039566e-12
3.848334897033505730e-01 6.130436141874348044e-01 9.545311239998605017e-13 3.607928694085335339e-14 9.906104109407138487e-13
