# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 5.222285945633686061e-03 1.007650754669220381e-10 1.224121940885217064e-13 1.008874876610105645e-10
5.756976996632233792e-03 6.012916011769789230e-03 9.593364768143722125e-11 1.223731109040800061e-13 9.605602079234129560e-11
6.628556827950546522e-03 6.923243832488070598e-03 9.124052067296250940e-11 1.223201866600299302e-13 9.136284085962253892e-11
7.632089835876165913e-03 7.971391097141962423e-03 8.667523773160355211e-11 1.222463802432316711e-13 8.679748411184678237e-11
8.787553124273954006e-03 9.178223035481053102e-03 8.222769653739062669e-11 1.220692806205599754e-13 8.234976581801119141e-11
1.011794823862578740e-02 1.056776377704491364e-02 7.788821961613024981e-11 1.220456880418980196e-13 7.801026530417214904e-11
1.164975905257685865e-02 1.216767459405818964e-02 7.364764835517805388e-11 1.217299321253001816e-13 7.376937828730335989e-11
1.341347897639862813e-02 1.400980454809989777e-02 6.949746413286427242e-11 1.216954221738483385e-13 6.961915955503812661e-11
1.544421798238740720e-02 1.613082450214496297e-02 6.542993985588001632e-11 1.213876127374070819e-13 6.555132746861742966e-11
1.778240153111564081e-02 1.857295711911203379e-02 6.143832447416454722e-11 1.212694938186477441e-13 6.155959396798318933e-11
2.047457531190212399e-02 2.138481737883298622e-02 5.751706165405248124e-11 1.208351103307711219e-13 5.763789676438325231e-11
2.357433181728696772e-02 2.462238034542455628e-02 5.366204150519000044e-11 1.205652199742365980e-13 5.378260672516423948e-11
2.714337719661929355e-02 2.835009545018776778e-02 4.987088082827942066e-11 1.199208948014855686e-13 4.999080172308090542e-11
3.125275962636985677e-02 3.264216947181184519e-02 4.614322255817794295e-11 1.195050497411497790e-13 4.626272760791909250e-11
3.598428365005760382e-02 3.758404375387838087e-02 4.248103879385999686e-11 1.188381860703533039e-13 4.259987697993034976e-11
4.143213864273420644e-02 4.327409506629944363e-02 3.888891410502625725e-11 1.180277864274324147e-13 3.900694189145369116e-11
4.770477381749969187e-02 4.982559396935250240e-02 3.537427709353470478e-11 1.179218886428192042e-13 3.549219898217752249e-11
5.492705709937791003e-02 5.736895966502005700e-02 3.194753937363681508e-11 1.159610823007146225e-13 3.206350045593752819e-11
6.324276084276478360e-02 6.605435622244859584e-02 2.862209377224687941e-11 1.146372168782091600e-13 2.873673098912508784e-11
7.281742387506216774e-02 7.605468185999761377e-02 2.541411990876930952e-11 1.131408365344507253e-13 2.552726074530376128e-11
8.384164684055039896e-02 8.756901079083787010e-02 2.234214826796977005e-11 1.113896912105869152e-13 2.245353795918035669e-11
9.653488644416247100e-02 1.008265561481387212e-01 1.942634650043539297e-11 1.094498139469806321e-13 1.953579631438237460e-11
1.111498241263097070e-01 1.160912328788966524e-01 1.668751644120458404e-11 1.072214441928122102e-13 1.679473788539739531e-11
1.279773961349767730e-01 1.336669114388968349e-01 1.414582790642099730e-11 1.047624127577294447e-13 1.425059031917872608e-11
1.473525851275904741e-01 1.539034668729214461e-01 1.181936323157602213e-11 1.019183596623654513e-13 1.192128159123838742e-11
1.696610885947663627e-01 1.772037436978720348e-01 9.722598042798964916e-12 9.907897528170333432e-14 9.821677018080669021e-12
1.953469968527308254e-01 2.040315752371528457e-01 7.864987890372009846e-12 9.581551249808378660e-14 7.960803402870093078e-12
2.249216334484722968e-01 2.349210170453857327e-01 6.249853446401282530e-12 9.226135561347624182e-14 6.342114802014758596e-12
2.589737339615604816e-01 2.704869782311469240e-01 4.873746285931130583e-12 8.847201750359775509e-14 4.962218303434728616e-12
2.981811658297320866e-01 3.114374623130555242e-01 3.726426135756066684e-12 8.433483830400599529e-14 3.810760974060072376e-12
3.433244225021500617e-01 3.585876612851560119e-01 2.791492790493017182e-12 8.024292035033787253e-14 2.871735710843355131e-12
3.953021605453848064e-01 4.128761834589588786e-01 2.047607923048237870e-12 7.582808882199337315e-14 2.123436011870231420e-12
4.551490889957608421e-01 4.753837381261076245e-01 1.470139370329472777e-12 7.126977733578663819e-14 1.541409147665259403e-12
5.240565670773426055e-01 5.473546489930087855e-01 1.032990390835287999e-12 6.660861212214327538e-14 1.099599002957431312e-12
6.033963203196643921e-01 6.302216246504931396e-01 7.103579540997935214e-13 6.190932895382037204e-14 7.722672830536138556e-13
6.947477471865686205e-01 7.256342791786166702e-01 4.782008413602159429e-13 5.711926072361465637e-14 5.353201020838305740e-13
7.999293598030285946e-01 8.354919706398218349e-01 3.152768237671144393e-13 5.241344733397649343e-14 3.676902711010909264e-13
9.210349846633580917e-01 9.619816111688787030e-01 2.037037405793189142e-13 4.780249680972170152e-14 2.515062373890406221e-13
1.060475443960094966e+00 1.107621201336489669e+00 1.290856236713633121e-13 4.329806425351755816e-14 1.723836879248808639e-13
1.221026547274324692e+00 1.275309955415266483e+00 8.030330579523339994e-14 3.895077384802749922e-14 1.192540796432608865e-13
1.405884348987115340e+00 1.468386015380355625e+00 4.909253680455179661e-14 3.473757776093879451e-14 8.383011456549058481e-14
1.618728771408821432e+00 1.690692902544234544e+00 2.952607159313966984e-14 3.087385953637522320e-14 6.039993112951489935e-14
1.863796860157468815e+00 1.946656029663308640e+00 1.749059786096230248e-14 2.717360166623493663e-14 4.466419952719723595e-14
2.145967130064388773e+00 2.241370796625423267e+00 1.021692778223517639e-14 2.379177373742499528e-14 3.400870151966017009e-14
2.470856680661916105e+00 2.580704023419165605e+00 5.891928620801675680e-15 2.064136478538333329e-14 2.653329340618500897e-14
2.844933014509146041e+00 2.971410739588078442e+00 3.358220166594330821e-15 1.779018607853361524e-14 2.114840624512794606e-14
3.275642784297754240e+00 3.421268655070912157e+00 1.893868309727942439e-15 1.519410565387199467e-14 1.708797396359993671e-14
3.771560031677307023e+00 3.939232989308428579e+00 1.057863989641208575e-15 1.289306143199064814e-14 1.395092542163185711e-14
4.342556868756759947e+00 4.535614740764692066e+00 5.858310216639809002e-16 1.082097377339535644e-14 1.140680479505933715e-14
5.000000000000000888e+00 5.222285945633688087e+00 3.219368381138566874e-16 9.051107013305151485e-15 9.373043851419007581e-15
