# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 2.934349589023294708e-02 2.034289854763660570e-12 1.895968576061868094e-15 2.036185823339722539e-12
5.838993118688259529e-03 3.426729411626548705e-02 1.887150690076341749e-12 1.895063521277913478e-15 1.889045753597619605e-12
6.818768128017769353e-03 4.001729890818817026e-02 1.742693887081744627e-12 1.894135154353933700e-15 1.744588022236098578e-12
7.962948035485325690e-03 4.673214659068044424e-02 1.600880471127455828e-12 1.893332608096698595e-15 1.602773803735552511e-12
9.299119756734202866e-03 5.457373647290282570e-02 1.461786647093491355e-12 1.892705018026371830e-15 1.463679352111517765e-12
1.085949925388581157e-02 6.373113434527721832e-02 1.325619816475281241e-12 1.886335463568287891e-15 1.327506151938849624e-12
1.268170828316790913e-02 7.442513097765414420e-02 1.192731596782640237e-12 1.885308507911955524e-15 1.194616905290552121e-12
1.480968147972586656e-02 8.691356552719900486e-02 1.063625108082737377e-12 1.879233670104864561e-15 1.065504341752842221e-12
1.729472565001686016e-02 1.014975422067952299e-01 9.389532529119790935e-13 1.872771378748811391e-15 9.408260242907278327e-13
2.019675681200996942e-02 1.185286901018497846e-01 8.195044973488529813e-13 1.866956818978879561e-15 8.213714541678319031e-13
2.358574480902929024e-02 1.384176411743668345e-01 7.061730238199947852e-13 1.854716644597449510e-15 7.080277404645922627e-13
2.754340032781188788e-02 1.616439308644378181e-01 5.999113381799094248e-13 1.840904800589667136e-15 6.017522429804990979e-13
3.216514499587391773e-02 1.887675599990346620e-01 5.016656532104959996e-13 1.826196318895635601e-15 5.034918495293916514e-13
3.756241205850358728e-02 2.204424967731873353e-01 4.122975899310948678e-13 1.807986801385527885e-15 4.141055767324803760e-13
4.386533310618707243e-02 2.574324443450199396e-01 3.324995231980923772e-13 1.787251563644146222e-15 3.342867747617365301e-13
5.122587563119895132e-02 3.006292542115341360e-01 2.627144034845498917e-13 1.761842250801056338e-15 2.644762457353509561e-13
5.982150706187026185e-02 3.510744293235062985e-01 2.030729382239795231e-13 1.731816712933610025e-15 2.048047549369131442e-13
6.985947361676432543e-02 4.099842353934722849e-01 1.533604444384898722e-13 1.696529922225903566e-15 1.550569743607157742e-13
8.158179714469422639e-02 4.787790258466306792e-01 1.130218425281378232e-13 1.661096428817621714e-15 1.146829389569554367e-13
9.527111042761822468e-02 5.591174874581490428e-01 8.120652237631883423e-14 1.613867473546379020e-15 8.282038984986521680e-14
1.112574716393304325e-01 6.529366323612803003e-01 5.684674372918452900e-14 1.562638458966246267e-15 5.840938218815077093e-14
1.299263222609410018e-01 7.624985006594008352e-01 3.875620507080396326e-14 1.508164296436345761e-15 4.026436936724030981e-14
