# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
1.279773961349767730e-01 6.204268435582915853e-01 3.325151651772648574e-14 1.656398298588031046e-15 3.490791481631451718e-14
1.473525851275904741e-01 7.143566132916461253e-01 2.389895048088727670e-14 1.611430980785328443e-15 2.551038146167260672e-14
1.696610885947663627e-01 8.225069180224234833e-01 1.687797561467121755e-14 1.566537480021436182e-15 1.844451309469265412e-14
1.953469968527308254e-01 9.470306813251939682e-01 1.171767469298581180e-14 1.514938876476573400e-15 1.323261356946238540e-14
2.249216334484722968e-01 1.090406769498819317e+00 8.002201108694086865e-15 1.458744109082305846e-15 9.460945217776392119e-15
2.589737339615604816e-01 1.255489337795354210e+00 5.379530317779365241e-15 1.398830891805684005e-15 6.778361209585049443e-15
2.981811658297320866e-01 1.445564647440978900e+00 3.562935889595197032e-15 1.333417959755281398e-15 4.896353849350478824e-15
3.433244225021500617e-01 1.664416484492501125e+00 2.326982782246280728e-15 1.268720653173654590e-15 3.595703435419935712e-15
3.953021605453848064e-01 1.916401482807764234e+00 1.500073695609580691e-15 1.198917760708646347e-15 2.698991456318227038e-15
4.551490889957608421e-01 2.206535850567242107e+00 9.554078734263322108e-16 1.126846306916836975e-15 2.082254180343168989e-15
5.240565670773426055e-01 2.540595226791990680e+00 6.017900733407252059e-16 1.053148633046234323e-15 1.654938706386959529e-15
6.033963203196643921e-01 2.925229655679032259e+00 3.752297487386044420e-16 9.788482762704299542e-16 1.354078025009034495e-15
6.947477471865686205e-01 3.368095967522124035e+00 2.318185172345745930e-16 9.031125170627658921e-16 1.134931034297340584e-15
7.999293598030285946e-01 3.878010201494931586e+00 1.420305640365387695e-16 8.287089109708049767e-16 9.707394750073436723e-16
9.210349846633580917e-01 4.465123104542295884e+00 8.636954626257301955e-17 7.558051814536967330e-16 8.421747277162697402e-16
1.060475443960094966e+00 5.141122199996220665e+00 5.217022565007079607e-17 6.845856073164013503e-16 7.367558329664721156e-16
1.221026547274324692e+00 5.919464448450709959e+00 3.132425191459583312e-17 6.158506074097622282e-16 6.471748593243580244e-16
