# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 6.321864547272587447e-03 1.583141234445746333e-10 1.355172094535237363e-13 1.584496406540281665e-10
5.756976996632233792e-03 7.278965754894628666e-03 1.506768299352778563e-10 1.354131924844654640e-13 1.508122431277623137e-10
6.628556827950546522e-03 8.380967682040441069e-03 1.432545004085950752e-10 1.352805534100847097e-13 1.433897809620051694e-10
7.632089835876165913e-03 9.649807631004999817e-03 1.360305111499295996e-10 1.355277076687053423e-13 1.361660388575982996e-10
8.787553124273954006e-03 1.111074411072439545e-02 1.289888107244063521e-10 1.351762876782129561e-13 1.291239870120845628e-10
1.011794823862578740e-02 1.279285965218149995e-02 1.221140396632386020e-10 1.351452062134715690e-13 1.222491848694520608e-10
1.164975905257685865e-02 1.472963974775070781e-02 1.153916896012099532e-10 1.346672114238733662e-13 1.155263568126338311e-10
1.341347897639862813e-02 1.695963943929613971e-02 1.088083078712448941e-10 1.345043093766767230e-13 1.089428121806215772e-10
1.544421798238740720e-02 1.952725082464094528e-02 1.023517531475292242e-10 1.340418147221472706e-13 1.024857949622513758e-10
1.778240153111564081e-02 2.248358676098515321e-02 9.601150653275693418e-11 1.338901966059683517e-13 9.614539672936290273e-11
2.047457531190212399e-02 2.588749835695532825e-02 8.977904016713897791e-11 1.329874659343966723e-13 8.991202763307337928e-11
2.357433181728696772e-02 2.980674650826933142e-02 8.364824159361173213e-11 1.325684430462074262e-13 8.378081003665793978e-11
2.714337719661929355e-02 3.431935079851094333e-02 7.761588631008181247e-11 1.316738248328835862e-13 7.774756013491469914e-11
3.125275962636985677e-02 3.951514261727594179e-02 7.168214277399920691e-11 1.307368944930553552e-13 7.181287966849226424e-11
3.598428365005760382e-02 4.549755341325996405e-02 6.585108334438096620e-11 1.297492503575976647e-13 6.598083259473855975e-11
4.143213864273420644e-02 5.238567368063679758e-02 6.013116132586499260e-11 1.283285281262056097e-13 6.025948985399119337e-11
4.770477381749969187e-02 6.031662366650178408e-02 5.453559906463586622e-11 1.267711318854809207e-13 5.466237019652135007e-11
5.492705709937791003e-02 6.944828299251486203e-02 4.908261644936132922e-11 1.250071671002249682e-13 4.920762361646155533e-11
6.324276084276478360e-02 7.996243352870274768e-02 4.379541585694606343e-11 1.229162687540168163e-13 4.391833212570008030e-11
7.281742387506216774e-02 9.206837808389521649e-02 3.870183253805539477e-11 1.205919307724343094e-13 3.882242446882782974e-11
8.384164684055039896e-02 1.060071069492448809e-01 3.383356383299249622e-11 1.179160930591027280e-13 3.395147992605160202e-11
9.653488644416247100e-02 1.220560952372671815e-01 2.922491214413160970e-11 1.150646547615406443e-13 2.933997679889315330e-11
1.111498241263097070e-01 1.405348265159401533e-01 2.491102010157257240e-11 1.118070376748073978e-13 2.502282713924737894e-11
1.279773961349767730e-01 1.618111526955939294e-01 2.092564364159230338e-11 1.082767810255344801e-13 2.103392042261783731e-11
1.473525851275904741e-01 1.863086167734160636e-01 1.729859588468998695e-11 1.044953525649839981e-13 1.740309123725497099e-11
1.696610885947663627e-01 2.145148842077854168e-01 1.405308988628428985e-11 1.004159961149099770e-13 1.415350588239919963e-11
1.953469968527308254e-01 2.469914507638897860e-01 1.120329112584978253e-11 9.591967303139045288e-14 1.129921079888117272e-11
2.249216334484722968e-01 2.843848200825074835e-01 8.752434720370117840e-12 9.140227637473893293e-14 8.843836996744857177e-12
2.589737339615604816e-01 3.274393734812784396e-01 6.691842444113800219e-12 8.656547409831255210e-14 6.778407918212113087e-12
2.981811658297320866e-01 3.770121881846783540e-01 5.001076300442845173e-12 8.133753099429743810e-14 5.082413831437142283e-12
3.433244225021500617e-01 4.340900989658355580e-01 3.649295057117780301e-12 7.649473485997760301e-14 3.725789791977757563e-12
3.953021605453848064e-01 4.998093428424250084e-01 2.597669720399588595e-12 7.132199142683787519e-14 2.668991711826426281e-12
4.551490889957608421e-01 5.754781778891433497e-01 1.802515461358034839e-12 6.612103590574875723e-14 1.868636497263783470e-12
5.240565670773426055e-01 6.626029264343262781e-01 1.218667367616922900e-12 6.094405670458982815e-14 1.279611424321512829e-12
6.033963203196643921e-01 7.629179610767241604e-01 8.026049264474813028e-13 5.584929968640889198e-14 8.584542261338901948e-13
6.947477471865686205e-01 8.784202304472534806e-01 5.149208970681168895e-13 5.088199169884042929e-14 5.658028887669572872e-13
7.999293598030285946e-01 1.011409012012244979e+00 3.219027445287304572e-13 4.603184289294670633e-14 3.679345874216771446e-13
