# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.189596853301493062e-02 1.300332936476192632e-11 1.372134018657208283e-14 1.301705070494849912e-11
5.756976996632233792e-03 1.369696343944557318e-02 1.230340220497038120e-11 1.370863096462882703e-14 1.231711083593501052e-11
6.628556827950546522e-03 1.577062068892019428e-02 1.161876426715076614e-11 1.370482051698340774e-14 1.163246908766774994e-11
7.632089835876165913e-03 1.815822010574519307e-02 1.094810337624168827e-11 1.372210450236651827e-14 1.096182548074405503e-11
8.787553124273954006e-03 2.090729108971200317e-02 1.029025620589879302e-11 1.369718838267950403e-14 1.030395339428147291e-11
1.011794823862578740e-02 2.407255877307324515e-02 9.644242101848636901e-12 1.373077075265715680e-14 9.657972872601293290e-12
1.164975905257685865e-02 2.771703342133203379e-02 9.009302404122255556e-12 1.365226225210051599e-14 9.022954666374356373e-12
1.341347897639862813e-02 3.191326476429908604e-02 8.384944734340219661e-12 1.364825438562989287e-14 8.398592988725849931e-12
1.544421798238740720e-02 3.674478622710079107e-02 7.770991009502610045e-12 1.360761014650867146e-14 7.784598619649119456e-12
1.778240153111564081e-02 4.230777781111764307e-02 7.167627000854280177e-12 1.359357102049165553e-14 7.181220571874771795e-12
2.047457531190212399e-02 4.871298072744641161e-02 6.575450074588205681e-12 1.353639485899361599e-14 6.588986469447199316e-12
2.357433181728696772e-02 5.608790189705969986e-02 5.995510376635454797e-12 1.350269393615323674e-14 6.009013070571608031e-12
2.714337719661929355e-02 6.457935220214763850e-02 5.429339275157028559e-12 1.341997131404409699e-14 5.442759246471072312e-12
3.125275962636985677e-02 7.435636901703507329e-02 4.878957568112009137e-12 1.336592737971919738e-14 4.892323495491728235e-12
3.598428365005760382e-02 8.561358119683379342e-02 4.346855130516332131e-12 1.328456447299730525e-14 4.360139694989329071e-12
4.143213864273420644e-02 9.857508350989561963e-02 3.835933755607651988e-12 1.317762969177107593e-14 3.849111385299422838e-12
4.770477381749969187e-02 1.134988976415141904e-01 3.349406433908786410e-12 1.305620592544642975e-14 3.362462639834232704e-12
5.492705709937791003e-02 1.306821085730628107e-01 2.890649662470834021e-12 1.291620446620314492e-14 2.903565866937037146e-12
6.324276084276478360e-02 1.504667785853037454e-01 2.463010808656138230e-12 1.274928351680627032e-14 2.475760092172944415e-12
7.281742387506216774e-02 1.732467566145899640e-01 2.069579853553172160e-12 1.256177718680142392e-14 2.082141630739973464e-12
8.384164684055039896e-02 1.994755185142676746e-01 1.712943155113664242e-12 1.236007001270683469e-14 1.725303225126370996e-12
9.653488644416247100e-02 2.296751942955853054e-01 1.394944630887151811e-12 1.210185635986708843e-14 1.407046487247018986e-12
1.111498241263097070e-01 2.644469620513448249e-01 1.116484847884658731e-12 1.182678783946610942e-14 1.128311635724124814e-12
1.279773961349767730e-01 3.044830154717740878e-01 8.773887454162503735e-13 1.152583372284328495e-14 8.889145791390936569e-13
1.473525851275904741e-01 3.505803431872440701e-01 6.763666257987636923e-13 1.117441822095754084e-14 6.875410440197212757e-13
1.696610885947663627e-01 4.036565942400798801e-01 5.110806447843714304e-13 1.083658245960582456e-14 5.219172272439772975e-13
1.953469968527308254e-01 4.647683455158105881e-01 3.783123019828525950e-13 1.042462199643912192e-14 3.887369239792916980e-13
2.249216334484722968e-01 5.351321347794690819e-01 2.742091015277487573e-13 1.002529787237168212e-14 2.842343994001204379e-13
2.589737339615604816e-01 6.161486780168208277e-01 1.945750797483103735e-13 9.572618733337264192e-15 2.041476984816476377e-13
2.981811658297320866e-01 7.094307531696401048e-01 1.351639331089468852e-13 9.084955516673013873e-15 1.442488886256199007e-13
3.433244225021500617e-01 8.168353053402201969e-01 9.193649191988093681e-14 8.611780021065522787e-15 1.005482719409464596e-13
3.953021605453848064e-01 9.405004125761429190e-01 6.125498170721998332e-14 8.103008160115894157e-15 6.935798986733587590e-14
4.551490889957608421e-01 1.082887848104796769e+00 4.000139874582381668e-14 7.581377434775474224e-15 4.758277618059929406e-14
5.240565670773426055e-01 1.246832086294379360e+00 2.562210366852442354e-14 7.053474418573686436e-15 3.267557808709810761e-14
6.033963203196643921e-01 1.435596727891945257e+00 1.611187446158334839e-14 6.522944224856169629e-15 2.263481868643951959e-14
6.947477471865686205e-01 1.652939467782886807e+00 9.956403707593852707e-15 6.052398216413663022e-15 1.600880192400751494e-14
7.999293598030285946e-01 1.903186898570321528e+00 6.052740905808345427e-15 5.473545429836966908e-15 1.152628633564531312e-14
9.210349846633580917e-01 2.191320639072239729e+00 3.623970121212283943e-15 4.969868822480845127e-15 8.593838943693129070e-15
1.060475443960094966e+00 2.523076502276865973e+00 2.139438125514644033e-15 4.481726422301951548e-15 6.621164547816595186e-15
1.221026547274324692e+00 2.905058676870247325e+00 1.246798966239180826e-15 4.014384993843152297e-15 5.261183960082332729e-15
1.405884348987115340e+00 3.344871195321781343e+00 7.180655118768486663e-16 3.565126569318223252e-15 4.283192081195071919e-15
1.618728771408821432e+00 3.851269305633052475e+00 4.091429957058952021e-16 3.156335140291163448e-15 3.565478135997058700e-15
1.863796860157468815e+00 4.434333760073056574e+00 2.308764710647885357e-16 2.769616610802527572e-15 3.000493081867316009e-15
2.145967130064388773e+00 5.105671490426066050e+00 1.291521017133618379e-16 2.413864933928147512e-15 2.543017035641509375e-15
