# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 5.891765610668253661e-02 1.759241422488076338e-13 2.845502404753821411e-16 1.762086924892830087e-13
5.756976996632233792e-03 6.783751818033201264e-02 1.610450235436871001e-13 2.842329356197877000e-16 1.613292564793068755e-13
6.628556827950546522e-03 7.810780633455856325e-02 1.464991913643469401e-13 2.841429050364141526e-16 1.467833342693833517e-13
7.632089835876165913e-03 8.993296886509183352e-02 1.323307869278471652e-13 2.845698663781342645e-16 1.326153567942253082e-13
8.787553124273954006e-03 1.035484065990353170e-01 1.185957913068821153e-13 2.839554159826003813e-16 1.188797467228647031e-13
1.011794823862578740e-02 1.192251589657137012e-01 1.053610071948172978e-13 2.848908044116524338e-16 1.056458979992289515e-13
1.164975905257685865e-02 1.372752995170870571e-01 9.270204849878712869e-14 2.828463067724714773e-16 9.298489480555960224e-14
1.341347897639862813e-02 1.580581483051341218e-01 8.070022444675031754e-14 2.827640110406371058e-16 8.098298845779095676e-14
1.544421798238740720e-02 1.819874247845887638e-01 6.943831614289367643e-14 2.817687550203777746e-16 6.972008489791404883e-14
1.778240153111564081e-02 2.095394836322433119e-01 5.899540071362331151e-14 2.816458547434783174e-16 5.927704656836678746e-14
2.047457531190212399e-02 2.412627974314043855e-01 4.944106642427300315e-14 2.800580343254474241e-16 4.972112445859845096e-14
2.357433181728696772e-02 2.777888749911476274e-01 4.082955049535839618e-14 2.792651446655753728e-16 4.110881564002396844e-14
2.714337719661929355e-02 3.198448326488769200e-01 3.319447500397980708e-14 2.772856362396550873e-16 3.347176064021946118e-14
3.125275962636985677e-02 3.682678688102543618e-01 2.654490536855053603e-14 2.760110123929117253e-16 2.682091638094344791e-14
3.598428365005760382e-02 4.240219298678826743e-01 2.086337084844502528e-14 2.743158395958019683e-16 2.113768668804082641e-14
4.143213864273420644e-02 4.882168992634013938e-01 1.610625559015766563e-14 2.715245638079512397e-16 1.637778015396561563e-14
4.770477381749969187e-02 5.621306916853040514e-01 1.220662127039615027e-14 2.686492096133673204e-16 1.247527048000951720e-14
5.492705709937791003e-02 6.472346922266527525e-01 9.079128568765629836e-15 2.653679373826683666e-16 9.344496506148297611e-15
6.324276084276478360e-02 7.452230469142369085e-01 6.626378957440556961e-15 2.614672050677647759e-16 6.887846162508322082e-15
7.281742387506216774e-02 8.580463876890895847e-01 4.745789233242984592e-15 2.571046395069138921e-16 5.002893872749898533e-15
8.384164684055039896e-02 9.879506631938951289e-01 3.336090203946605342e-15 2.524579270719844773e-16 3.588548131018589671e-15
9.653488644416247100e-02 1.137521848362962995e+00 2.302703486342772497e-15 2.465611402177024852e-16 2.549264626560474834e-15
1.111498241263097070e-01 1.309737422838432419e+00 1.561539411232297997e-15 2.403023708493857623e-16 1.801841782081683808e-15
1.279773961349767730e-01 1.508025642981849046e+00 1.041088322028830961e-15 2.333566777108003638e-16 1.274444999739631276e-15
1.473525851275904741e-01 1.736333787395608175e+00 6.829636314781291029e-16 2.254159872242862163e-16 9.083796187024153685e-16
1.696610885947663627e-01 1.999206734502368965e+00 4.412430828737102659e-16 2.180948773906985089e-16 6.593379602644087747e-16
1.953469968527308254e-01 2.301877436408478417e+00 2.810290212114695995e-16 2.099928197313130108e-16 4.910218409427825610e-16
2.249216334484722968e-01 2.650371090094079563e+00 1.766267172821662146e-16 2.000889202987012060e-16 3.767156375808674453e-16
2.589737339615604816e-01 3.051625079642143135e+00 1.096576103340193513e-16 1.903822773095339061e-16 3.000398876435532697e-16
2.981811658297320866e-01 3.513627077169167112e+00 6.731945967480819045e-17 1.798190354315082783e-16 2.471384951063164441e-16
3.433244225021500617e-01 4.045574051601412258e+00 4.090663934501851841e-17 1.697517092637221568e-16 2.106583486087406813e-16
3.953021605453848064e-01 4.658055350648319326e+00 2.462712559470987566e-17 1.590339727936382295e-16 1.836610983883481083e-16
4.551490889957608421e-01 5.363263500544417361e+00 1.470262235375087319e-17 1.481040055290268856e-16 1.628066278827777619e-16
5.240565670773426055e-01 6.175236919902297394e+00 8.711787946167946762e-18 1.371383912847267562e-16 1.458501792308946968e-16
6.033963203196643921e-01 7.110139379326330555e+00 5.127378577734509854e-18 1.262449583335845618e-16 1.313723369113190833e-16
6.947477471865686205e-01 8.186581769926135621e+00 2.999689155319796117e-18 1.155143067692015658e-16 1.185139959245213619e-16
7.999293598030285946e-01 9.425992586102713844e+00 1.745581017474677108e-18 1.049641485588725377e-16 1.067097295763472175e-16
9.210349846633580917e-01 1.085304449772387336e+01 1.010997908742557952e-18 9.490392830409538134e-17 9.591492621283793622e-17
1.060475443960094966e+00 1.249614550336447394e+01 5.831028016482674904e-19 8.523062033307153823e-17 8.581372313471980495e-17
1.221026547274324692e+00 1.438800444188772509e+01 3.350724100041735841e-19 7.604200552337673959e-17 7.637707793338090773e-17
1.405884348987115340e+00 1.656628211987802501e+01 1.919209694055281591e-19 6.725020911313241600e-17 6.744213008253794057e-17
1.618728771408821432e+00 1.907434101677153748e+01 1.096142863001461888e-19 5.935950662637780943e-17 5.946912091267795519e-17
1.863796860157468815e+00 2.196210849189449021e+01 6.244886826923481103e-20 5.189836879991278312e-17 5.196081766818201886e-17
2.145967130064388773e+00 2.528707067707562928e+01 3.550005724440588357e-20 4.512523710246325374e-17 4.516073715970765977e-17
2.470856680661916105e+00 2.911541684002758146e+01 2.014184955382109792e-20 3.893932674077329733e-17 3.895946859032711951e-17
2.844933014509146041e+00 3.352335699907951749e+01 1.140880458262935561e-20 3.337645485079723649e-17 3.338786365537986427e-17
3.275642784297754240e+00 3.859863901871823799e+01 6.452730792019382031e-21 2.837951450269502206e-17 2.838596723348704352e-17
3.771560031677307023e+00 4.444229538641446453e+01 3.644940776032823571e-21 2.400119261166369218e-17 2.400483755243972564e-17
4.342556868756759947e+00 5.117065444342458846e+01 2.056609788747222280e-21 2.007206871268621273e-17 2.007412532247495992e-17
5.000000000000000888e+00 5.891765610668255704e+01 1.159284372095479786e-21 1.676893197613052036e-17 1.677009126050261510e-17
