# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.465076619054026495e-02 2.242358403360746572e-11 1.537639010791975935e-14 2.243896042371538425e-11
5.756976996632233792e-03 1.686882478839551655e-02 2.119297355781149541e-11 1.536269814815496999e-14 2.120833625595965005e-11
6.628556827950546522e-03 1.942268725340253951e-02 1.998800712357539074e-11 1.534388711939868117e-14 2.000335101069479036e-11
7.632089835876165913e-03 2.236319274612411090e-02 1.880645260672641140e-11 1.534585764197875668e-14 1.882179846436839093e-11
8.787553124273954006e-03 2.574887724213786866e-02 1.764637037362177278e-11 1.532544453445967443e-14 1.766169581815623333e-11
1.011794823862578740e-02 2.964713879441902705e-02 1.650617963850846407e-11 1.532707405080054320e-14 1.652150671255926304e-11
1.164975905257685865e-02 3.413557921108668902e-02 1.538473491407293283e-11 1.526273985496086857e-14 1.539999765392789306e-11
1.341347897639862813e-02 3.930354885698873757e-02 1.428141121538462570e-11 1.524025372292362108e-14 1.429665146910754994e-11
1.544421798238740720e-02 4.525392533113908877e-02 1.319619521622251543e-11 1.518261604995476248e-14 1.321137783227247032e-11
1.778240153111564081e-02 5.210516142773610054e-02 1.212977762740713222e-11 1.516012738772142513e-14 1.214493775479485426e-11
2.047457531190212399e-02 5.999364314905721723e-02 1.108363968248083933e-11 1.504877853285189648e-14 1.109868846101369150e-11
2.357433181728696772e-02 6.907640471065712440e-02 1.006012389215307146e-11 1.500666955192720201e-14 1.007513056170499908e-11
2.714337719661929355e-02 7.953425458586231567e-02 9.062476434858751655e-12 1.486712599860312671e-14 9.077343560857355224e-12
3.125275962636985677e-02 9.157537481902026932e-02 8.094846161029507324e-12 1.474431210398135139e-14 8.109590473133488206e-12
3.598428365005760382e-02 1.054394652582149733e-01 7.162223911737118934e-12 1.460660390892428523e-14 7.176830515646043447e-12
4.143213864273420644e-02 1.214025152057494478e-01 6.270306606446434824e-12 1.443360372878804243e-14 6.284740210175222478e-12
4.770477381749969187e-02 1.397822974745590030e-01 5.425274350069290969e-12 1.437337793314783155e-14 5.439647728002439087e-12
5.492705709937791003e-02 1.609446942194881214e-01 4.633476502189461215e-12 1.400854916247888906e-14 4.647485051351939864e-12
6.324276084276478360e-02 1.853109804703204355e-01 3.901034559413788122e-12 1.374281596683094327e-14 3.914777375380618703e-12
7.281742387506216774e-02 2.133662103582000813e-01 3.233385140955932163e-12 1.344946170320777461e-14 3.246834602659140140e-12
8.384164684055039896e-02 2.456688729781505987e-01 2.634803251380528394e-12 1.310440799874942733e-14 2.647907659379277807e-12
9.653488644416247100e-02 2.828620101047559232e-01 2.107960738686599331e-12 1.276278537947145304e-14 2.120723524066070972e-12
1.111498241263097070e-01 3.256860170788470343e-01 1.653582860974475734e-12 1.235634926782573353e-14 1.665939210242301413e-12
1.279773961349767730e-01 3.749933816895392735e-01 1.270262672060890979e-12 1.192954570120957220e-14 1.282192217762100457e-12
1.473525851275904741e-01 4.317656544552018194e-01 9.544759875300700087e-13 1.146303421697559135e-14 9.659390217470456632e-13
1.696610885947663627e-01 4.971329881268919948e-01 7.008100642466039352e-13 1.097238530248726981e-14 7.117824495490911688e-13
1.953469968527308254e-01 5.723966353827129039e-01 5.023822985907347945e-13 1.044623661974005429e-14 5.128285352104748440e-13
2.249216334484722968e-01 6.590548525695937299e-01 3.513902141656683677e-13 9.909885471627415922e-15 3.613000996372957836e-13
2.589737339615604816e-01 7.588327251523999673e-01 2.397105524083165725e-13 9.368259281586479580e-15 2.490788116899030663e-13
2.981811658297320866e-01 8.737165085988238822e-01 1.594603334778008763e-13 8.734269271677033839e-15 1.681946027494779196e-13
3.433244225021500617e-01 1.005993168316252406e+00 1.034475063250373104e-13 8.184561314058246389e-15 1.116320676390955615e-13
3.953021605453848064e-01 1.158295905753168986e+00 6.546808940705560439e-14 7.597825710508132750e-15 7.306591511756373398e-14
