# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 3.697048814960818969e-02 1.037438886623403054e-12 1.057982543045645446e-15 1.038496869166448762e-12
5.838993118688259529e-03 4.317408518002162354e-02 9.567589419709985001e-13 1.057477507163714151e-15 9.578164194781622916e-13
6.818768128017769353e-03 5.041863725436140226e-02 8.775753206021630170e-13 1.056959462713235827e-15 8.786322800648762306e-13
7.962948035485325690e-03 5.887881519637121891e-02 7.999509364817713371e-13 1.056511628323540993e-15 8.010074481100948333e-13
9.299119756734202866e-03 6.875859935362586828e-02 7.240243716812637165e-13 1.056161422446198038e-15 7.250805331037099149e-13
1.085949925388581157e-02 8.029619769529289242e-02 6.500163064822336623e-13 1.052607103293067199e-15 6.510689135855267781e-13
1.268170828316790913e-02 9.376978915992946473e-02 5.782322192705799584e-13 1.052034044661927269e-15 5.792842533152419110e-13
1.480968147972586656e-02 1.095042307291354267e-01 5.090594786348258391e-13 1.048644182386317110e-15 5.101081228172121943e-13
1.729472565001686016e-02 1.278788899389346478e-01 4.429569168889006229e-13 1.045038114475117258e-15 4.440019550033757532e-13
2.019675681200996942e-02 1.493367916757866454e-01 3.804353113067119572e-13 1.041793491747844276e-15 3.814771047984597875e-13
2.358574480902929024e-02 1.743952997923800818e-01 3.220280446874450137e-13 1.034963267353364723e-15 3.230630079547983987e-13
2.754340032781188788e-02 2.036585910838567826e-01 2.682526361511015207e-13 1.027256024716540561e-15 2.692798921758180711e-13
3.216514499587391773e-02 2.378322223800772017e-01 2.195657411061713838e-13 1.019048443080713198e-15 2.205847895492520869e-13
3.756241205850358728e-02 2.777401419759213952e-01 1.763163121228480921e-13 1.008887224226023143e-15 1.773251993470741101e-13
4.386533310618707243e-02 3.243445555561810800e-01 1.387033566194807622e-13 9.973166107500081464e-16 1.397006732302307583e-13
5.122587563119895132e-02 3.787691255953088421e-01 1.067454566257650210e-13 9.831377842872754542e-16 1.077285944100522963e-13
5.982150706187026185e-02 4.423260635845155386e-01 8.026835271134124963e-14 9.663830261597450278e-16 8.123473573750099663e-14
6.985947361676432543e-02 5.165477682972904327e-01 5.891424214126575712e-14 9.466923999330158169e-16 5.986093454119877412e-14
8.158179714469422639e-02 6.032237729123315351e-01 4.217241528529777440e-14 9.269199111173253288e-16 4.309933519641510091e-14
9.527111042761822468e-02 7.044438918128547167e-01 2.942648220715409402e-14 9.005653550164818744e-16 3.032704756217057609e-14
1.112574716393304325e-01 8.226486073594471149e-01 2.001005237864539466e-14 8.719786981448831986e-16 2.088203107679027845e-14
1.299263222609410018e-01 9.606879114940589659e-01 1.326142113915724080e-14 8.415811938131544708e-16 1.410300233297039596e-14
1.517277803236215528e-01 1.121890020884161343e+00 8.568957001346082329e-15 8.082578402897412519e-16 9.377214841635822891e-15
1.771874930446940555e-01 1.310141622373529380e+00 5.401948830937351705e-15 7.737297709924591938e-16 6.175678601929810603e-15
2.069193105211186157e-01 1.529981583509222975e+00 3.325504203282951679e-15 7.344479529518081585e-16 4.059952156234760232e-15
