# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.065591228122985019e-02 3.380023760476068656e-11 2.755831479233085387e-14 3.382779591955301666e-11
5.838993118688259529e-03 1.244395969668936515e-02 3.186627930646664903e-11 2.754568729570019710e-14 3.189382499376235092e-11
6.818768128017769353e-03 1.453203900764064860e-02 2.998179694795514611e-11 2.753228282682725947e-14 3.000932923078197116e-11
7.962948035485325690e-03 1.697049515322464341e-02 2.814207975708453642e-11 2.752167474301184305e-14 2.816960143182754864e-11
9.299119756734202866e-03 1.981812088408222913e-02 2.634284745474215892e-11 2.751247798645798110e-14 2.637035993272861533e-11
1.085949925388581157e-02 2.314357429349764642e-02 2.458036428734611506e-11 2.742310307248388286e-14 2.460778739041859754e-11
1.268170828316790913e-02 2.702703420831665398e-02 2.285157795563022290e-11 2.740847705030823453e-14 2.287898643268053192e-11
1.480968147972586656e-02 3.156213335218262944e-02 2.115428321846097171e-11 2.732312464172279934e-14 2.118160634310269317e-11
1.729472565001686016e-02 3.685821589090312184e-02 1.948730717647042590e-11 2.723209320607663631e-14 1.951453926967650120e-11
2.019675681200996942e-02 4.304297379082194092e-02 1.785070915655861076e-11 2.714947771930285439e-14 1.787785863427791416e-11
2.358574480902929024e-02 5.026552555449768922e-02 1.624598255727659281e-11 2.697736321632665069e-14 1.627295992049291995e-11
2.754340032781188788e-02 5.870001156399221043e-02 1.467623902776744009e-11 2.678256872755665194e-14 1.470302159649499765e-11
3.216514499587391773e-02 6.854979271781436179e-02 1.314634739100313385e-11 2.657479645269316806e-14 1.317292218745582705e-11
3.756241205850358728e-02 8.005235359336493328e-02 1.166299185544042669e-11 2.631510588273293850e-14 1.168930696132316015e-11
4.386533310618707243e-02 9.348502835329144944e-02 1.023460817187427662e-11 2.602344178157992546e-14 1.026063161365585666e-11
5.122587563119895132e-02 1.091716874510491875e-01 8.871155242187016199e-12 2.566314787949294476e-14 8.896818390066509128e-12
5.982150706187026185e-02 1.274905463564523223e-01 7.583686657092414649e-12 2.523692528583142993e-14 7.608923582378245782e-12
6.985947361676432543e-02 1.488832845746263789e-01 6.383704986994124936e-12 2.473532942570810487e-14 6.408440316419833110e-12
8.158179714469422639e-02 1.738656948237899402e-01 5.282313134934431203e-12 2.423007662416835058e-14 5.306543211558599761e-12
9.527111042761822468e-02 2.030401191304125053e-01 4.289220113000994215e-12 2.355700550960480966e-14 4.312777118510598945e-12
1.112574716393304325e-01 2.371099716840246452e-01 3.411706610855923878e-12 2.282332760801203234e-14 3.434529938463935895e-12
1.299263222609410018e-01 2.768966986070777736e-01 2.653696535049817832e-12 2.204606697065270141e-14 2.675742602020470590e-12
1.517277803236215528e-01 3.233595835508448202e-01 2.015098595835539583e-12 2.119225985462158359e-14 2.036290855690160980e-12
1.771874930446940555e-01 3.776188766430568777e-01 1.491562807994442488e-12 2.030129164290428637e-14 1.511864099637346860e-12
2.069193105211186157e-01 4.409828044411202574e-01 1.074734927537582942e-12 1.928881910619547402e-14 1.094023746643778441e-12
2.416400860513061855e-01 5.149791121183103781e-01 7.529965688094257990e-13 1.825968941489782911e-14 7.712562582243236597e-13
2.821869599305631415e-01 6.013918983854008582e-01 5.125746755064815972e-13 1.715567515915572519e-14 5.297303506656373539e-13
3.295375434436236262e-01 7.023046312614450448e-01 3.388239513746966525e-13 1.603339492459680284e-14 3.548573462992934490e-13
3.848334897033505730e-01 8.201503818316950856e-01 2.174572960437436084e-13 1.488433721803013908e-14 2.323416332617737601e-13
4.494080196437306718e-01 9.577704871609632464e-01 1.355314317758625275e-13 1.372191116608601331e-14 1.492533429419485518e-13
5.248180668366125845e-01 1.118483056763113881e+00 8.207382240015290383e-14 1.255866612691920246e-14 9.463248852707210313e-14
6.128818161644512541e-01 1.306162974361846585e+00 4.833243953635749492e-14 1.141631081833516760e-14 5.974875035469265937e-14
7.157225414306788158e-01 1.525335323836842560e+00 2.770989178974679299e-14 1.030426978790657037e-14 3.801416157765336494e-14
8.358197988607614093e-01 1.781284491915090529e+00 1.548768673144548705e-14 9.226455046952843068e-15 2.471414177839833012e-14
9.760692108022782643e-01 2.080181578143665444e+00 8.452106817854822709e-15 8.202000665954002070e-15 1.665410748380882478e-14
1.139852281047596616e+00 2.429233184080589414e+00 4.511226102712899411e-15 7.244840805656481620e-15 1.175606690836938182e-14
1.331117925071608088e+00 2.836855169107149521e+00 2.359011635800782318e-15 6.338340165661077601e-15 8.697351801461860708e-15
1.554477680931142913e+00 3.312875562226373027e+00 1.210696167830242449e-15 5.514543415825096487e-15 6.725239583655338936e-15
1.815316896422285664e+00 3.868771522182058664e+00 6.108920295595601049e-16 4.753829998795340944e-15 5.364722028354901344e-15
2.119924573289651004e+00 4.517946059159629435e+00 3.035628951712613256e-16 4.072129424996196380e-15 4.375692320167458100e-15
2.475644999115283795e+00 5.276051190007564173e+00 1.487933163169830841e-16 3.455730005673632631e-15 3.604523321990615395e-15
2.891054822829829174e+00 6.161365318460234164e+00 7.204786633867778646e-17 2.913467146858674730e-15 2.985515013197352406e-15
3.376169843250778957e+00 7.195233939242767995e+00 3.451168073488759522e-17 2.431309977463379956e-15 2.465821658198267724e-15
3.942686496452824318e+00 8.402584291718149245e+00 1.637465139146503554e-17 2.009412844360711389e-15 2.025787495752176295e-15
4.604263864386632932e+00 9.812526371708068851e+00 7.704447870304110493e-18 1.651888214497880403e-15 1.659592662368184427e-15
5.376853004155713656e+00 1.145905479227009849e+01 3.598544867706755218e-18 1.334312027791965124e-15 1.337910572659671932e-15
6.279081538292701659e+00 1.338186841574736619e+01 1.670062620579363525e-18 1.077400752411092395e-15 1.079070815031671830e-15
7.332702778754716100e+00 1.562732751894812822e+01 7.707587599916275666e-19 8.484585655697915178e-16 8.492293243297831039e-16
8.563120213307023221e+00 1.824957156932518032e+01 3.539988280367374454e-19 6.691779113935433398e-16 6.695319102215800891e-16
1.000000000000000000e+01 2.131182456245970513e+01 1.619058246304140565e-19 5.099967522329239394e-16 5.101586580575544001e-16
