# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 5.222285945633685367e-02 1.358081996215564635e-13 3.079810175881473583e-16 1.361161806391446078e-13
5.756976996632233792e-03 6.012916011769788710e-02 1.244673509372077345e-13 3.078826868703250080e-16 1.247752336240780536e-13
6.628556827950546522e-03 6.923243832488069904e-02 1.133847275682247454e-13 3.077495329581758931e-16 1.136924771011829301e-13
7.632089835876165913e-03 7.971391097141961035e-02 1.025928532938525225e-13 3.075638408748070653e-16 1.029004171347273353e-13
8.787553124273954006e-03 9.178223035481052061e-02 9.213286585366882260e-14 3.071182698889175030e-16 9.243998412355774197e-14
1.011794823862578740e-02 1.056776377704491121e-01 8.205369990379908563e-14 3.070589125149408801e-16 8.236075881631402636e-14
1.164975905257685865e-02 1.216767459405818652e-01 7.241055103102568427e-14 3.062644914261975074e-16 7.271681552245187808e-14
1.341347897639862813e-02 1.400980454809989673e-01 6.326255367500791877e-14 3.061776666613589674e-16 6.356873134166927266e-14
1.544421798238740720e-02 1.613082450214496089e-01 5.466968914445712530e-14 3.054032383932910529e-16 5.497509238285041917e-14
1.778240153111564081e-02 1.857295711911202962e-01 4.668905277858726800e-14 3.051060589736523331e-16 4.699415883756091722e-14
2.047457531190212399e-02 2.138481737883298206e-01 3.937073914897228603e-14 3.040131787290340033e-16 3.967475232770132008e-14
2.357433181728696772e-02 2.462238034542455212e-01 3.275372805972393043e-14 3.033341523684525456e-16 3.305706221209238451e-14
2.714337719661929355e-02 2.835009545018776222e-01 2.686224114746809790e-14 3.017130726726023370e-16 2.716395422014070043e-14
3.125275962636985677e-02 3.264216947181183825e-01 2.170305728756776372e-14 3.006668338906327390e-16 2.200372412145839493e-14
3.598428365005760382e-02 3.758404375387837115e-01 1.726420239048013500e-14 2.989890488182082435e-16 1.756319143929834241e-14
4.143213864273420644e-02 4.327409506629943947e-01 1.351526333673244941e-14 2.969501366939852634e-16 1.381221347342643532e-14
4.770477381749969187e-02 4.982559396935249962e-01 1.040934109186828162e-14 2.966837048429060860e-16 1.070602479671118711e-14
5.492705709937791003e-02 5.736895966502004729e-01 7.886402815115053790e-15 2.917504452356334194e-16 8.178153260350687308e-15
6.324276084276478360e-02 6.605435622244858473e-01 5.877576818107276690e-15 2.884196870296481124e-16 6.165996505136925197e-15
7.281742387506216774e-02 7.605468185999759712e-01 4.309809807504622872e-15 2.846548926445700094e-16 4.594464700149192586e-15
8.384164684055039896e-02 8.756901079083785344e-01 3.110299928814431286e-15 2.802491263497649487e-16 3.390549055164196284e-15
9.653488644416247100e-02 1.008265561481387129e+00 2.210224707963814901e-15 2.753685229254887895e-16 2.485593230889303839e-15
1.111498241263097070e-01 1.160912328788966441e+00 1.547463300434773097e-15 2.697620913966564776e-16 1.817225391831429525e-15
1.279773961349767730e-01 1.336669114388967960e+00 1.068215749869478434e-15 2.635753302712871829e-16 1.331791080140765617e-15
1.473525851275904741e-01 1.539034668729214017e+00 7.275996459964915555e-16 2.564198800082888134e-16 9.840195260047802703e-16
1.696610885947663627e-01 1.772037436978720182e+00 4.894250707984057744e-16 2.492761759239734790e-16 7.387012467223793028e-16
1.953469968527308254e-01 2.040315752371528291e+00 3.254024887815426701e-16 2.410655185099471700e-16 5.664680072914898401e-16
2.249216334484722968e-01 2.349210170453857049e+00 2.140343298001373154e-16 2.321234938845419285e-16 4.461578236846792933e-16
2.589737339615604816e-01 2.704869782311468906e+00 1.393988545130716040e-16 2.225897687866814170e-16 3.619886232997530456e-16
2.981811658297320866e-01 3.114374623130554909e+00 8.997566224329242347e-17 2.121808984178243441e-16 3.021565606611167553e-16
3.433244225021500617e-01 3.585876612851560008e+00 5.760286066966634415e-17 2.018859023625573424e-16 2.594887630322236742e-16
3.953021605453848064e-01 4.128761834589588453e+00 3.660676867077453389e-17 1.907784770222639808e-16 2.273852456930385147e-16
4.551490889957608421e-01 4.753837381261075024e+00 2.311008372065136510e-17 1.793100655583659910e-16 2.024201492790173623e-16
5.240565670773426055e-01 5.473546489930086523e+00 1.450328285819360516e-17 1.675828808907482102e-16 1.820861637489418092e-16
6.033963203196643921e-01 6.302216246504930730e+00 9.053870024752382940e-18 1.557597939598142258e-16 1.648136639845665979e-16
6.947477471865686205e-01 7.256342791786165591e+00 5.625488366943229462e-18 1.437082977927855603e-16 1.493337861597287844e-16
7.999293598030285946e-01 8.354919706398217016e+00 3.480775457057657530e-18 1.318687812551385744e-16 1.353495567121962435e-16
9.210349846633580917e-01 9.619816111688784588e+00 2.145809126733453419e-18 1.202679334386077404e-16 1.224137425653411938e-16
1.060475443960094966e+00 1.107621201336489491e+01 1.318541730773006479e-18 1.089350778138344937e-16 1.102536195446075041e-16
1.221026547274324692e+00 1.275309955415266217e+01 8.078915469042213764e-19 9.799758149001388277e-17 9.880547303691810742e-17
1.405884348987115340e+00 1.468386015380355403e+01 4.937636033105384290e-19 8.739745763910378966e-17 8.789122124241432472e-17
1.618728771408821432e+00 1.690692902544234499e+01 3.011102965822190562e-19 7.767659707177787287e-17 7.797770736836008687e-17
1.863796860157468815e+00 1.946656029663308374e+01 1.832698967974747094e-19 6.836699198978535210e-17 6.855026188658282180e-17
2.145967130064388773e+00 2.241370796625422912e+01 1.113577295736952805e-19 5.985853566663736569e-17 5.996989339621105541e-17
2.470856680661916105e+00 2.580704023419164983e+01 6.756248844119080595e-20 5.193231424651514552e-17 5.199987673495633813e-17
2.844933014509146041e+00 2.971410739588077732e+01 4.093814907773219822e-20 4.475893641435054717e-17 4.479987456342827718e-17
3.275642784297754240e+00 3.421268655070911535e+01 2.477761257722948169e-20 3.822736905799895674e-17 3.825214667057618821e-17
3.771560031677307023e+00 3.939232989308428046e+01 1.498173219669067577e-20 3.243809335513995827e-17 3.245307508733664912e-17
4.342556868756759947e+00 4.535614740764690822e+01 9.050879573483395495e-21 2.722485728517344378e-17 2.723390816474692585e-17
5.000000000000000888e+00 5.222285945633687021e+01 5.463786792194011849e-21 2.277198908991961012e-17 2.277745287671180470e-17
