# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.069417557142773173e-02 3.412978928948251536e-11 2.763030439097734673e-14 3.415741959387349148e-11
5.838993118688259529e-03 1.248864351432212375e-02 3.217634372844441958e-11 2.761751303226924480e-14 3.220396124147668568e-11
6.818768128017769353e-03 1.458422070837552854e-02 3.027283213200597581e-11 2.760407224979550920e-14 3.030043620425577429e-11
7.962948035485325690e-03 1.703143287152712390e-02 2.841449799059398123e-11 2.759316573857467057e-14 2.844209115633255659e-11
9.299119756734202866e-03 1.988928386764958131e-02 2.659702061644181374e-11 2.758393099741682758e-14 2.662460454743923105e-11
1.085949925388581157e-02 2.322667832776866698e-02 2.481663060008979897e-11 2.749362178409508358e-14 2.484412422187389401e-11
1.268170828316790913e-02 2.712408298516539792e-02 2.307025044392951054e-11 2.747889583045389641e-14 2.309772933975996527e-11
1.480968147972586656e-02 3.167546678022201828e-02 2.135566013535265567e-11 2.739258973276549046e-14 2.138305272508542115e-11
1.729472565001686016e-02 3.699056651219098657e-02 1.967168460948819932e-11 2.730060261134716128e-14 1.969898521209954514e-11
2.019675681200996942e-02 4.319753266421273025e-02 1.801839591270247720e-11 2.721723820147411125e-14 1.804561315090395098e-11
2.358574480902929024e-02 5.044601919412990132e-02 1.639731724421654084e-11 2.704327104201085886e-14 1.642436051525855161e-11
2.754340032781188788e-02 5.891079178794809967e-02 1.481160897750206701e-11 2.684648486613368607e-14 1.483845546236820078e-11
3.216514499587391773e-02 6.879594157326116011e-02 1.326620870520369986e-11 2.663667498161028253e-14 1.329284538018530971e-11
3.756241205850358728e-02 8.033980588799030653e-02 1.176788939765034653e-11 2.637459982154573576e-14 1.179426399747189185e-11
4.386533310618707243e-02 9.382071474734519911e-02 1.032519382675818223e-11 2.608023018262692312e-14 1.035127405694080839e-11
5.122587563119895132e-02 1.095637015600326031e-01 8.948202280054996730e-12 2.571673612211634082e-14 8.973919016177112698e-12
5.982150706187026185e-02 1.279483398934089244e-01 7.648097700270602344e-12 2.528685748936993179e-14 7.673384557759971931e-12
6.985947361676432543e-02 1.494178952370402436e-01 6.436511027395557656e-12 2.478113022558918797e-14 6.461292157621146841e-12
8.158179714469422639e-02 1.744900124195923607e-01 5.324661463539304465e-12 2.427210792968567469e-14 5.348933571468990080e-12
9.527111042761822468e-02 2.037691963595657518e-01 4.322350014187031691e-12 2.359392760193021013e-14 4.345943941788961980e-12
1.112574716393304325e-01 2.379613870688282451e-01 3.436913256483948937e-12 2.285576468985946641e-14 3.459769021173808375e-12
1.299263222609410018e-01 2.778909803216804697e-01 2.672285510574216855e-12 2.207265153313566053e-14 2.694358162107352541e-12
1.517277803236215528e-01 3.245207043687654003e-01 2.028335516565809253e-12 2.121310966897193018e-14 2.049548626234781029e-12
1.771874930446940555e-01 3.789748319362176709e-01 1.500623992019013703e-12 2.031761863335064572e-14 1.520941610652364371e-12
2.069193105211186157e-01 4.425662871663232356e-01 1.080665533476666129e-12 1.929978862341048929e-14 1.099965322100076564e-12
2.416400860513061855e-01 5.168283010655148058e-01 7.566816527238491168e-13 1.826591499412439765e-14 7.749475677179734956e-13
