# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.716018049684349400e-02 9.496665818168471808e-12 7.741038976257425593e-15 9.504406857144729413e-12
5.838993118688259529e-03 2.003963516730353223e-02 8.900093155529219431e-12 7.737343733389634865e-15 8.907830499262608375e-12
6.818768128017769353e-03 2.340225836858171246e-02 8.316113627738428135e-12 7.733553309522106294e-15 8.323847181047950743e-12
7.962948035485325690e-03 2.732912511518270637e-02 7.743633426079202665e-12 7.730276598116685780e-15 7.751363702677319815e-12
9.299119756734202866e-03 3.191491469746446374e-02 7.181815040062333463e-12 7.727714214300385619e-15 7.189542754276633678e-12
1.085949925388581157e-02 3.727019346040356257e-02 6.630135146607496722e-12 7.701707997771289497e-15 6.637836854605268401e-12
1.268170828316790913e-02 4.352408062949531670e-02 6.088448211803226098e-12 7.697515046546823508e-15 6.096145726849772937e-12
1.480968147972586656e-02 5.082736145857123106e-02 5.557052387411808127e-12 7.672712126903076844e-15 5.564725099538711359e-12
1.729472565001686016e-02 5.935612275953566080e-02 5.036752178885116647e-12 7.646327275437313170e-15 5.044398506160554168e-12
2.019675681200996942e-02 6.931599846898890693e-02 4.528909877618034175e-12 7.622587043464526835e-15 4.536532464661498939e-12
2.358574480902929024e-02 8.094712761508643384e-02 4.035475158218694621e-12 7.572611707291167899e-15 4.043047769925985822e-12
2.754340032781188788e-02 9.452994422441406142e-02 3.558980054490881762e-12 7.516219410420762427e-15 3.566496273901302673e-12
3.216514499587391773e-02 1.103919387672677582e-01 3.102485537926661910e-12 7.456166236801411716e-15 3.109941704163463511e-12
3.756241205850358728e-02 1.289155541641464620e-01 2.669467160017757716e-12 7.381818704587891912e-15 2.676848978722345536e-12
4.386533310618707243e-02 1.505474067312669584e-01 2.263631770422894160e-12 7.297158924059569558e-15 2.270928929346953757e-12
5.122587563119895132e-02 1.758090543880461709e-01 1.888665957544307192e-12 7.193415389719538736e-15 1.895859372934026759e-12
5.982150706187026185e-02 2.053095717549783261e-01 1.547929487122114731e-12 7.070824297309251463e-15 1.555000311419423953e-12
6.985947361676432543e-02 2.397602353356304006e-01 1.244122109217142253e-12 6.926752066543300277e-15 1.251048861283685592e-12
8.158179714469422639e-02 2.799916728519648568e-01 9.789663773288001359e-13 6.782080864181806677e-15 9.857484581929818606e-13
9.527111042761822468e-02 3.269738902145274961e-01 7.529578675376776886e-13 6.589250039779651749e-15 7.595471175774573277e-13
1.112574716393304325e-01 3.818396589906712935e-01 5.652325542713880816e-13 6.380087396692094393e-15 5.716126416680801389e-13
1.299263222609410018e-01 4.459118282577606007e-01 4.135862034971855212e-13 6.157675158078492989e-15 4.197438786552640245e-13
1.517277803236215528e-01 5.207352193477530200e-01 2.946536803188775763e-13 5.913855087378879790e-15 3.005675354062564711e-13
1.771874930446940555e-01 6.081138724860303268e-01 2.042232076378792859e-13 5.661220361066913916e-15 2.098844279989462038e-13
2.069193105211186157e-01 7.101545433649606442e-01 1.376315827622110337e-13 5.373803440523439232e-15 1.430053862027344745e-13
2.416400860513061855e-01 8.293174983826417934e-01 9.017077322556117150e-14 5.082459224845621793e-15 9.525323245040679487e-14
2.821869599305631415e-01 9.684758332528013991e-01 5.743935750544402205e-14 4.770341662504885634e-15 6.220969916794890768e-14
3.295375434436236262e-01 1.130984745195797281e+00 3.559217019205845230e-14 4.453930980535917388e-15 4.004610117259437127e-14
3.848334897033505730e-01 1.320762428907931829e+00 2.147037233487868800e-14 4.130413268707590445e-15 2.560078560358627845e-14
4.494080196437306718e-01 1.542384546763081232e+00 1.262184355882683462e-14 3.804162505175834152e-15 1.642600606400266956e-14
5.248180668366125845e-01 1.801194550984149156e+00 7.240378385364595555e-15 3.478179918118632673e-15 1.071855830348322783e-14
6.128818161644512541e-01 2.103432517723047734e+00 4.058720928696429088e-15 3.158773805291175222e-15 7.217494733987604705e-15
7.157225414306788158e-01 2.456385599321999180e+00 2.226869493453679514e-15 2.848497421709986284e-15 5.075366915163665798e-15
8.358197988607614093e-01 2.868563722257218451e+00 1.197837053622186678e-15 2.548231487955201262e-15 3.746068541577388137e-15
9.760692108022782643e-01 3.349904766955735802e+00 6.327452938539030749e-16 2.263460843380118454e-15 2.896206137234021430e-15
1.139852281047596616e+00 3.912014176503107787e+00 3.287852938164926157e-16 1.997891647956678982e-15 2.326676941773171499e-15
1.331117925071608088e+00 4.568444771362518253e+00 1.683258939690761551e-16 1.746641133958759132e-15 1.914967027927835337e-15
1.554477680931142913e+00 5.335023516618621287e+00 8.503836335090217405e-17 1.518750089185384029e-15 1.603788452536286277e-15
1.815316896422285664e+00 6.230233120315234352e+00 4.245551666998535866e-17 1.308554608431772221e-15 1.351010125101757549e-15
2.119924573289651004e+00 7.275657663468868108e+00 2.097456181962797029e-17 1.120409046073575963e-15 1.141383607893203934e-15
