# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
8.158179714469422639e-02 2.222295380137725151e-01 2.347071182851831712e-12 1.275386255310002266e-14 2.359825045404931749e-12
9.527111042761822468e-02 2.595193486463377441e-01 1.855541215966799453e-12 1.239123965318523794e-14 1.867932455619984533e-12
1.112574716393304325e-01 3.030663381824851288e-01 1.434024379948329410e-12 1.199790438417208769e-14 1.446022284332501514e-12
1.299263222609410018e-01 3.539204526307161425e-01 1.081671812174416188e-12 1.157965293919360488e-14 1.093251465113609874e-12
1.517277803236215528e-01 4.133078174947571459e-01 7.951767093944870799e-13 1.112114356254890430e-14 8.062978529570359684e-13
1.771874930446940555e-01 4.826603004503900451e-01 5.690170440062393317e-13 1.064605801873894948e-14 5.796631020249782749e-13
2.069193105211186157e-01 5.636500345987673910e-01 3.959632542990747572e-13 1.010556374073553488e-14 4.060688180398102921e-13
2.416400860513061855e-01 6.582297346741206034e-01 2.677661945271630477e-13 9.557684091877367060e-15 2.773238786190404274e-13
2.821869599305631415e-01 7.686797782556378245e-01 1.759030834988187065e-13 8.970739676111735720e-15 1.848738231749304469e-13
3.295375434436236262e-01 8.976631871418974118e-01 1.122543482366470266e-13 8.375721947927862767e-15 1.206300701845748847e-13
3.848334897033505730e-01 1.048289834524262609e+00 6.961292501616751161e-14 7.767339282963915139e-15 7.738026429913143306e-14
4.494080196437306718e-01 1.224191426035604824e+00 4.197798114714133255e-14 7.153817050000989718e-15 4.913179819714232226e-14
5.248180668366125845e-01 1.429609062515813767e+00 2.463859487263249687e-14 6.540799129204922342e-15 3.117939400183742237e-14
6.128818161644512541e-01 1.669495495688842146e+00 1.409296265703054735e-14 5.940148422850837195e-15 2.003311107988138612e-14
7.157225414306788158e-01 1.949634542201639009e+00 7.866826626622647335e-15 5.356666387039864326e-15 1.322349301366251087e-14
8.358197988607614093e-01 2.276780535174461217e+00 4.292327791356636124e-15 4.792009237534061515e-15 9.084337028890698428e-15
9.760692108022782643e-01 2.658821175529410663e+00 2.293031204697655143e-15 4.256491343719255549e-15 6.549522548416911086e-15
1.139852281047596616e+00 3.104967709547771904e+00 1.201431854744126202e-15 3.757082226577079971e-15 4.958514081321205779e-15
1.331117925071608088e+00 3.625977017959741477e+00 6.184572087099335625e-16 3.284599726574953911e-15 3.903056935284887375e-15
1.554477680931142913e+00 4.234410971277741353e+00 3.133106831724666306e-16 2.856045257772900908e-15 3.169355940945367588e-15
