# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.024981921896314825e-02 3.048599608199602150e-11 2.684935421649910153e-14 3.051284543621252061e-11
5.838993118688259529e-03 1.196972477746490078e-02 2.874731531906744899e-11 2.683833126590937260e-14 2.877415365033335683e-11
6.818768128017769353e-03 1.397822812164198174e-02 2.705348230528539338e-11 2.687330822372633038e-14 2.708035561350911978e-11
7.962948035485325690e-03 1.632375556274446790e-02 2.540024803060338065e-11 2.681791140284377425e-14 2.542706594200622421e-11
9.299119756734202866e-03 1.906285928040283087e-02 2.378374198994252675e-11 2.680881122968870843e-14 2.381055080117221612e-11
1.085949925388581157e-02 2.226158083215895589e-02 2.220057227011313961e-11 2.672966174262065059e-14 2.222730193185575967e-11
1.268170828316790913e-02 2.599704345801972030e-02 2.064794773038928019e-11 2.671626308575814445e-14 2.067466399347503672e-11
1.480968147972586656e-02 3.035931157152335982e-02 1.912382218799216847e-11 2.664038455547009640e-14 1.915046257254763833e-11
1.729472565001686016e-02 3.545356227084755368e-02 1.762705811669660788e-11 2.655897800794732898e-14 1.765361709470455370e-11
2.019675681200996942e-02 4.140262122649293608e-02 1.615760381589402213e-11 2.648439366262032352e-14 1.618408820955664110e-11
2.358574480902929024e-02 4.834992408742975339e-02 1.471667315562962882e-11 2.633059315794746950e-14 1.474300374878757560e-11
2.754340032781188788e-02 5.646297480712043904e-02 1.330691088418101817e-11 2.615587531843565114e-14 1.333306675949945403e-11
3.216514499587391773e-02 6.593738427188897133e-02 1.193251947760050139e-11 2.603503912358261386e-14 1.195855451672408378e-11
3.756241205850358728e-02 7.700158660557264445e-02 1.059931652953364257e-11 2.573591510729088244e-14 1.062505244464093274e-11
4.386533310618707243e-02 8.992234686360335572e-02 9.314686347509220719e-12 2.546942650953135196e-14 9.340155774018752598e-12
5.122587563119895132e-02 1.050111929105758124e-01 8.087388129302037182e-12 2.514179739474811957e-14 8.112529926696785659e-12
5.982150706187026185e-02 1.226319265580195217e-01 6.927188792923883253e-12 2.475302101283147961e-14 6.951941813936714373e-12
6.985947361676432543e-02 1.432093950607520039e-01 5.844304103197393140e-12 2.429372552598874924e-14 5.868597828723382085e-12
8.158179714469422639e-02 1.672397344582479684e-01 4.848658804271513200e-12 2.382807070981858699e-14 4.872486874981332077e-12
9.527111042761822468e-02 1.953023317345923549e-01 3.949013819601781497e-12 2.317074551654073024e-14 3.972184565118322243e-12
1.112574716393304325e-01 2.280737942124113349e-01 3.152050664769870098e-12 2.253440163960682463e-14 3.174585066409476995e-12
1.299263222609410018e-01 2.663442629918785776e-01 2.461539647478006517e-12 2.180283983098992965e-14 2.483342487308996424e-12
1.517277803236215528e-01 3.110364637623350137e-01 1.877735599341017274e-12 2.100699941284136583e-14 1.898742598753858801e-12
1.771874930446940555e-01 3.632279543138808853e-01 1.397130266831630914e-12 2.016472442898027975e-14 1.417294991260611222e-12
2.069193105211186157e-01 4.241771051507930990e-01 1.012638768984178053e-12 1.920800091301991373e-14 1.031846769897197973e-12
2.416400860513061855e-01 4.953534396161174969e-01 7.142159354627541536e-13 1.822849766862617261e-14 7.324444331313802884e-13
2.821869599305631415e-01 5.784730650474140257e-01 4.898075225983041086e-13 1.717171086661191870e-14 5.069792334649160273e-13
3.295375434436236262e-01 6.755400492316714356e-01 3.264694225728144325e-13 1.609312330996098144e-14 3.425625458827754108e-13
3.848334897033505730e-01 7.888947397724119792e-01 2.114593391933761508e-13 1.498167248027943177e-14 2.264410116736555763e-13
