# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 5.521619470785109861e-03 1.122654268209982775e-10 1.228771387345838168e-13 1.123883039597328631e-10
5.756976996632233792e-03 6.357567255493305931e-03 1.068833493052006539e-10 1.227633253018800289e-13 1.070061126305025297e-10
6.628556827950546522e-03 7.320073688883464887e-03 1.016552910434322071e-10 1.227292020385835558e-13 1.017780202454707878e-10
7.632089835876165913e-03 8.428299168110994083e-03 9.656957451159038267e-11 1.228839833238610498e-13 9.669245849491424650e-11
8.787553124273954006e-03 9.704304886309918221e-03 9.161490960548529113e-11 1.226608548645502684e-13 9.173757046034983519e-11
1.011794823862578740e-02 1.117349199975841215e-02 8.678047080879229352e-11 1.229615911977854131e-13 8.690343239999008270e-11
1.164975905257685865e-02 1.286510728293269699e-02 8.205600056532741648e-11 1.222585330574307969e-13 8.217825909838485305e-11
1.341347897639862813e-02 1.481282533740987950e-02 7.743194291552544803e-11 1.222226418720478463e-13 7.755416555739749113e-11
1.544421798238740720e-02 1.705541894451996845e-02 7.289961122463428853e-11 1.218586651947441146e-13 7.302146988982903464e-11
1.778240153111564081e-02 1.963753090630541639e-02 6.845139309605288776e-11 1.217329422251326631e-13 6.857312603827802555e-11
2.047457531190212399e-02 2.261056273965097660e-02 6.408099410585707398e-11 1.212209191258452307e-13 6.420221502498292345e-11
2.357433181728696772e-02 2.603369791461613084e-02 5.978371955065425724e-11 1.209191211298017524e-13 5.990463867178405541e-11
2.714337719661929355e-02 2.997508000634353104e-02 5.555678968483157373e-11 1.201783247516652151e-13 5.567696800958323924e-11
3.125275962636985677e-02 3.451316921374612129e-02 5.139967866823613867e-11 1.196943513259276380e-13 5.151937301956206553e-11
3.598428365005760382e-02 3.973830424888247226e-02 4.731446047657420850e-11 1.189657314505235262e-13 4.743342620802472953e-11
4.143213864273420644e-02 4.575450068919787588e-02 4.330613637465041301e-11 1.180081107101569908e-13 4.342414448536057223e-11
4.770477381749969187e-02 5.268152159202120488e-02 3.938290860818213079e-11 1.169207384289165752e-13 3.949982934661104684e-11
5.492705709937791003e-02 6.065726159057011763e-02 3.555635467282019281e-11 1.156669994721843369e-13 3.567202167229237558e-11
6.324276084276478360e-02 6.984049193112323861e-02 3.184144754080570695e-11 1.141721915031478272e-13 3.195561973230885414e-11
7.281742387506216774e-02 8.041402109619116834e-02 2.825636207963132504e-11 1.124930376440980104e-13 2.836885511727542430e-11
